step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.272785,213797.63,nan,nan,2.631579e-06,3596,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.272785
10,12.118568,183243.00,nan,nan,2.631579e-05,88993,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.118568
20,11.831347,137495.51,nan,nan,5.263158e-05,118075,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.831347
30,11.134216,68474.47,nan,nan,7.894737e-05,123245,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.134216
40,10.858304,51963.87,nan,nan,1.052632e-04,123235,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.858304
50,10.211244,27207.38,nan,nan,1.315789e-04,123126,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.211244
60,9.549732,14040.93,nan,nan,1.578947e-04,121549,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.549732
70,8.988746,8012.40,nan,nan,1.842105e-04,123200,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.988746
80,8.324833,4125.05,nan,nan,2.105263e-04,122909,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.324833
90,7.904183,2708.59,nan,nan,2.368421e-04,123325,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.904183
100,7.585561,1969.55,nan,nan,2.631579e-04,123130,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.585561
110,7.326119,1519.47,nan,nan,2.894737e-04,121601,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.326119
120,7.308138,1492.40,nan,nan,3.157895e-04,123214,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.308138
130,7.067290,1172.96,nan,nan,3.421053e-04,123328,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.067290
140,6.933383,1025.96,nan,nan,3.684211e-04,123186,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.933383
150,6.849113,943.04,nan,nan,3.947368e-04,123292,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.849113
160,6.811233,907.99,nan,nan,3.999932e-04,121592,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.811233
170,6.701767,813.84,nan,nan,3.999658e-04,122960,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.701767
180,6.821114,917.01,nan,nan,3.999172e-04,123387,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.821114
190,6.626457,754.80,nan,nan,3.998475e-04,123193,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.626457
200,6.480858,652.53,nan,nan,3.997567e-04,121649,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.480858
210,6.556932,704.11,nan,nan,3.996448e-04,120569,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.556932
220,6.520972,679.24,nan,nan,3.995118e-04,122874,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.520972
230,6.604971,738.76,nan,nan,3.993578e-04,123193,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.604971
240,6.337943,565.63,nan,nan,3.991827e-04,123181,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.337943
250,6.538252,691.08,6.404216,604.39,3.989866e-04,121772,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.538252
260,6.346096,570.26,nan,nan,3.987695e-04,16113,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.346096
270,6.277368,532.39,nan,nan,3.985313e-04,123295,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.277368
280,6.386399,593.71,nan,nan,3.982723e-04,122990,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.386399
