step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.298864,219446.64,nan,nan,2.631579e-06,768,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.298864
10,12.063004,173338.83,nan,nan,2.631579e-05,89585,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.063004
20,11.566315,105484.01,nan,nan,5.263158e-05,124336,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.566315
30,11.119893,67500.69,nan,nan,7.894737e-05,124512,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.119893
40,10.806424,49336.73,nan,nan,1.052632e-04,123831,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.806424
50,10.225595,27600.67,nan,nan,1.315789e-04,124449,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.225595
60,9.581984,14501.15,nan,nan,1.578947e-04,122714,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.581984
70,9.021008,8275.11,nan,nan,1.842105e-04,124434,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.021008
80,8.373823,4332.17,nan,nan,2.105263e-04,123784,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.373823
90,7.941306,2811.03,nan,nan,2.368421e-04,123779,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.941306
100,7.617400,2033.27,nan,nan,2.631579e-04,123530,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.617400
110,7.359043,1570.33,nan,nan,2.894737e-04,121586,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.359043
120,7.341345,1542.79,nan,nan,3.157895e-04,123786,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.341345
130,7.097953,1209.49,nan,nan,3.421053e-04,122910,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.097953
140,6.958476,1052.03,nan,nan,3.684211e-04,122712,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.958476
150,6.873881,966.69,nan,nan,3.947368e-04,123643,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.873881
160,6.835939,930.70,nan,nan,3.999932e-04,122739,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.835939
170,6.718447,827.53,nan,nan,3.999658e-04,124515,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.718447
180,6.823144,918.87,nan,nan,3.999172e-04,124667,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.823144
190,6.643965,768.13,nan,nan,3.998475e-04,123600,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.643965
200,6.489814,658.40,nan,nan,3.997567e-04,124425,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.489814
210,6.577701,718.88,nan,nan,3.996448e-04,122707,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.577701
220,6.539917,692.23,nan,nan,3.995118e-04,124428,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.539917
230,6.617364,747.97,nan,nan,3.993578e-04,123026,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.617364
240,6.356059,575.97,nan,nan,3.991827e-04,123155,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.356059
250,6.548715,698.35,6.407919,606.63,3.989866e-04,123349,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.548715
