step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.296675,218966.65,nan,nan,2.631579e-06,3235,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.296675
10,12.017796,165677.03,nan,nan,2.631579e-05,85696,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.017796
20,11.633984,112869.05,nan,nan,5.263158e-05,120434,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.633984
30,11.244004,76420.35,nan,nan,7.894737e-05,120435,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.244004
40,10.949661,56934.76,nan,nan,1.052632e-04,120623,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.949661
50,10.380160,32214.13,nan,nan,1.315789e-04,120623,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.380160
60,9.751493,17179.85,nan,nan,1.578947e-04,119100,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.751493
70,9.205613,9952.84,nan,nan,1.842105e-04,119169,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.205613
80,8.608202,5476.39,nan,nan,2.105263e-04,119111,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.608202
90,8.198084,3633.98,nan,nan,2.368421e-04,119334,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.198084
100,7.898948,2694.45,nan,nan,2.631579e-04,120451,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.898948
110,7.730349,2276.40,nan,nan,2.894737e-04,117796,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.730349
120,7.745886,2312.04,nan,nan,3.157895e-04,120567,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.745886
130,7.537986,1878.04,nan,nan,3.421053e-04,119158,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.537986
140,7.405199,1644.51,nan,nan,3.684211e-04,119378,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.405199
150,7.305316,1488.19,nan,nan,3.947368e-04,120606,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.305316
160,7.300389,1480.88,nan,nan,3.999932e-04,117810,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.300389
170,7.153452,1278.51,nan,nan,3.999658e-04,120601,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.153452
180,7.211847,1355.39,nan,nan,3.999172e-04,120747,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.211847
190,6.994135,1090.22,nan,nan,3.998475e-04,119074,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.994135
200,6.874849,967.63,nan,nan,3.997567e-04,119033,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.874849
210,6.885585,978.07,nan,nan,3.996448e-04,117720,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.885585
220,6.822713,918.47,nan,nan,3.995118e-04,119055,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.822713
230,6.884095,976.62,nan,nan,3.993578e-04,119049,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.884095
240,6.658232,779.17,nan,nan,3.991827e-04,119067,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.658232
250,6.798962,896.92,6.674678,792.09,3.989866e-04,119016,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.798962
260,6.605438,739.10,nan,nan,3.987695e-04,30286,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.605438
270,6.532174,686.89,nan,nan,3.985313e-04,119162,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.532174
280,6.587328,725.84,nan,nan,3.982723e-04,119158,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.587328
290,6.664851,784.35,nan,nan,3.979923e-04,119360,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.664851
300,6.361692,579.23,nan,nan,3.976915e-04,119080,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.361692
310,6.532527,687.13,nan,nan,3.973697e-04,117816,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.532527
320,6.483549,654.29,nan,nan,3.970272e-04,118847,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.483549
330,6.458701,638.23,nan,nan,3.966639e-04,119095,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.458701
340,6.386347,593.68,nan,nan,3.962799e-04,120002,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.386347
350,6.339397,566.45,nan,nan,3.958751e-04,119029,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.339397
360,6.251969,519.03,nan,nan,3.954498e-04,117575,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.251969
370,6.260033,523.24,nan,nan,3.950038e-04,119359,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.260033
380,6.295015,541.86,nan,nan,3.945373e-04,119050,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.295015
390,6.132705,460.68,nan,nan,3.940503e-04,119481,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.132705
400,6.319294,555.18,nan,nan,3.935429e-04,119097,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.319294
410,6.099469,445.62,nan,nan,3.930152e-04,117746,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.099469
420,6.208003,496.71,nan,nan,3.924671e-04,119101,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.208003
430,6.065139,430.58,nan,nan,3.918988e-04,119558,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.065139
440,5.887882,360.64,nan,nan,3.913103e-04,119292,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.887882
450,6.131416,460.09,nan,nan,3.907017e-04,120018,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.131416
