step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.294575,218507.31,nan,nan,2.631579e-06,4966,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.294575
10,12.072212,174942.43,nan,nan,2.631579e-05,72894,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.072212
20,11.616875,110954.41,nan,nan,5.263158e-05,119835,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.616875
30,11.200274,73150.45,nan,nan,7.894737e-05,119924,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.200274
40,10.928928,55766.49,nan,nan,1.052632e-04,118979,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.928928
50,10.359389,31551.91,nan,nan,1.315789e-04,119870,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.359389
60,9.744493,17060.03,nan,nan,1.578947e-04,118054,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.744493
70,9.193024,9828.32,nan,nan,1.842105e-04,119896,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.193024
80,8.591941,5388.06,nan,nan,2.105263e-04,119935,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.591941
90,8.188761,3600.26,nan,nan,2.368421e-04,120034,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.188761
100,7.917681,2745.40,nan,nan,2.631579e-04,119828,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.917681
110,7.750760,2323.34,nan,nan,2.894737e-04,118314,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.750760
120,7.780292,2392.97,nan,nan,3.157895e-04,119929,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.780292
130,7.602253,2002.70,nan,nan,3.421053e-04,119992,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.602253
140,7.486768,1784.28,nan,nan,3.684211e-04,119889,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.486768
150,7.397743,1632.30,nan,nan,3.947368e-04,119954,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.397743
160,7.421171,1670.99,nan,nan,3.999932e-04,118201,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.421171
170,7.278996,1449.53,nan,nan,3.999658e-04,119970,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.278996
180,7.342945,1545.26,nan,nan,3.999172e-04,120046,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.342945
190,7.124380,1241.88,nan,nan,3.998475e-04,119901,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.124380
200,7.008668,1106.18,nan,nan,3.997567e-04,119893,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.008668
210,7.019178,1117.87,nan,nan,3.996448e-04,118288,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.019178
220,6.950074,1043.23,nan,nan,3.995118e-04,119886,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.950074
230,7.012838,1110.80,nan,nan,3.993578e-04,119891,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.012838
240,6.780595,880.59,nan,nan,3.991827e-04,119893,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.780595
250,6.904348,996.60,6.795852,894.13,3.989866e-04,119394,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.904348
260,6.724672,832.70,nan,nan,3.987695e-04,34704,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.724672
270,6.653760,775.70,nan,nan,3.985313e-04,119206,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.653760
280,6.673173,790.90,nan,nan,3.982723e-04,119748,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.673173
290,6.779016,879.20,nan,nan,3.979923e-04,119929,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.779016
300,6.466496,643.23,nan,nan,3.976915e-04,119369,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.466496
310,6.632517,759.39,nan,nan,3.973697e-04,118214,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.632517
320,6.576379,717.94,nan,nan,3.970272e-04,119638,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.576379
330,6.551455,700.26,nan,nan,3.966639e-04,119916,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.551455
340,6.494775,661.68,nan,nan,3.962799e-04,119912,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.494775
350,6.446490,630.49,nan,nan,3.958751e-04,119481,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.446490
360,6.352536,573.95,nan,nan,3.954498e-04,116768,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.352536
370,6.329406,560.82,nan,nan,3.950038e-04,118415,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.329406
380,6.389854,595.77,nan,nan,3.945373e-04,118286,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.389854
390,6.217649,501.52,nan,nan,3.940503e-04,118683,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.217649
400,6.395376,599.07,nan,nan,3.935429e-04,118382,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.395376
