step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.284475,216311.62,nan,nan,2.631579e-06,3836,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.284475
10,12.126431,184689.35,nan,nan,2.631579e-05,90258,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.126431
20,11.828406,137091.84,nan,nan,5.263158e-05,123234,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.828406
30,11.141187,68953.44,nan,nan,7.894737e-05,123273,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.141187
40,10.852565,51666.50,nan,nan,1.052632e-04,123364,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.852565
50,10.208730,27139.07,nan,nan,1.315789e-04,123277,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.208730
60,9.533846,13819.64,nan,nan,1.578947e-04,121718,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.533846
70,8.970545,7867.89,nan,nan,1.842105e-04,123307,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.970545
80,8.318979,4100.97,nan,nan,2.105263e-04,121630,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.318979
90,7.899202,2695.13,nan,nan,2.368421e-04,123083,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.899202
100,7.573664,1946.26,nan,nan,2.631579e-04,122924,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.573664
110,7.317232,1506.03,nan,nan,2.894737e-04,121381,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.317232
120,7.297876,1477.16,nan,nan,3.157895e-04,122998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.297876
130,7.079642,1187.54,nan,nan,3.421053e-04,123065,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.079642
140,6.942987,1035.86,nan,nan,3.684211e-04,122962,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.942987
150,6.861671,954.96,nan,nan,3.947368e-04,121628,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.861671
160,6.816257,912.56,nan,nan,3.999932e-04,120839,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.816257
170,6.709386,820.07,nan,nan,3.999658e-04,122727,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.709386
180,6.824803,920.39,nan,nan,3.999172e-04,123108,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.824803
190,6.634343,760.78,nan,nan,3.998475e-04,122982,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.634343
200,6.490131,658.61,nan,nan,3.997567e-04,121570,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.490131
210,6.569519,713.03,nan,nan,3.996448e-04,121773,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.569519
220,6.529356,684.96,nan,nan,3.995118e-04,123295,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.529356
230,6.614404,745.76,nan,nan,3.993578e-04,122976,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.614404
240,6.350525,572.79,nan,nan,3.991827e-04,122977,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.350525
250,6.554894,702.67,6.413455,610.00,3.989866e-04,121613,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.554894
260,6.354259,574.94,nan,nan,3.987695e-04,17369,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.354259
270,6.282248,534.99,nan,nan,3.985313e-04,123426,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.282248
280,6.398340,600.85,nan,nan,3.982723e-04,123302,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.398340
290,6.454343,635.46,nan,nan,3.979923e-04,123345,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.454343
300,6.135626,462.03,nan,nan,3.976915e-04,123278,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.135626
310,6.322015,556.69,nan,nan,3.973697e-04,121593,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.322015
320,6.274584,530.91,nan,nan,3.970272e-04,123073,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.274584
330,6.247655,516.80,nan,nan,3.966639e-04,123356,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.247655
340,6.215109,500.25,nan,nan,3.962799e-04,121911,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.215109
350,6.163032,474.87,nan,nan,3.958751e-04,121602,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.163032
360,6.073664,434.27,nan,nan,3.954498e-04,120038,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.073664
370,6.078170,436.23,nan,nan,3.950038e-04,123284,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.078170
380,6.117204,453.59,nan,nan,3.945373e-04,122613,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.117204
390,5.956197,386.14,nan,nan,3.940503e-04,123487,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.956197
400,6.145232,466.49,nan,nan,3.935429e-04,121652,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.145232
410,5.958032,386.85,nan,nan,3.930152e-04,120028,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.958032
420,6.049208,423.78,nan,nan,3.924671e-04,123361,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.049208
430,5.911222,369.16,nan,nan,3.918988e-04,123165,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.911222
440,5.713428,302.91,nan,nan,3.913103e-04,123617,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.713428
