step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.284386,216292.23,nan,nan,2.631579e-06,3558,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.284386
10,12.125879,184587.57,nan,nan,2.631579e-05,82968,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.125879
20,11.828204,137064.12,nan,nan,5.263158e-05,122956,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.828204
30,11.139659,68848.17,nan,nan,7.894737e-05,123081,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.139659
40,10.852631,51669.90,nan,nan,1.052632e-04,123066,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.852631
50,10.209042,27147.54,nan,nan,1.315789e-04,123037,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.209042
60,9.534687,13831.27,nan,nan,1.578947e-04,121407,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.534687
70,8.971246,7873.40,nan,nan,1.842105e-04,122963,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.971246
80,8.319431,4102.83,nan,nan,2.105263e-04,123042,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.319431
90,7.899509,2695.96,nan,nan,2.368421e-04,123134,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.899509
100,7.573128,1945.21,nan,nan,2.631579e-04,122905,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.573128
110,7.317074,1505.79,nan,nan,2.894737e-04,121380,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.317074
120,7.297577,1476.72,nan,nan,3.157895e-04,123028,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.297577
130,7.078504,1186.19,nan,nan,3.421053e-04,122713,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.078504
140,6.942341,1035.19,nan,nan,3.684211e-04,122965,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.942341
150,6.861403,954.71,nan,nan,3.947368e-04,123058,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.861403
160,6.815659,912.02,nan,nan,3.999932e-04,121386,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.815659
170,6.708979,819.73,nan,nan,3.999658e-04,122700,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.708979
180,6.822455,918.24,nan,nan,3.999172e-04,123183,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.822455
190,6.634277,760.73,nan,nan,3.998475e-04,122442,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.634277
200,6.490910,659.12,nan,nan,3.997567e-04,121280,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.490910
210,6.569382,712.93,nan,nan,3.996448e-04,119791,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.569382
220,6.528225,684.18,nan,nan,3.995118e-04,121561,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.528225
230,6.614784,746.04,nan,nan,3.993578e-04,123004,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.614784
240,6.347791,571.23,nan,nan,3.991827e-04,121289,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.347791
250,6.556282,703.65,6.412158,609.21,3.989866e-04,122945,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.556282
260,6.351932,573.60,nan,nan,3.987695e-04,16064,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.351932
