step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.273241,213895.11,nan,nan,2.631579e-06,3951,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.273241
10,12.091919,178424.17,nan,nan,2.631579e-05,92380,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.091919
20,11.800799,133358.91,nan,nan,5.263158e-05,124926,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.800799
30,11.089542,65482.77,nan,nan,7.894737e-05,123838,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.089542
40,10.826466,50335.49,nan,nan,1.052632e-04,125006,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.826466
50,10.191431,26673.64,nan,nan,1.315789e-04,124959,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.191431
60,9.525578,13705.86,nan,nan,1.578947e-04,123020,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.525578
70,8.969318,7858.24,nan,nan,1.842105e-04,124969,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.969318
80,8.323627,4120.07,nan,nan,2.105263e-04,123713,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.323627
90,7.898624,2693.57,nan,nan,2.368421e-04,124749,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.898624
100,7.581105,1960.79,nan,nan,2.631579e-04,124916,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.581105
110,7.313373,1500.23,nan,nan,2.894737e-04,123178,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.313373
120,7.299609,1479.72,nan,nan,3.157895e-04,124952,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.299609
130,7.060751,1165.32,nan,nan,3.421053e-04,125077,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.060751
140,6.938068,1030.78,nan,nan,3.684211e-04,124937,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.938068
150,6.845710,939.84,nan,nan,3.947368e-04,123880,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.845710
160,6.811778,908.48,nan,nan,3.999932e-04,123180,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.811778
170,6.703440,815.21,nan,nan,3.999658e-04,123896,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.703440
180,6.818762,914.85,nan,nan,3.999172e-04,125149,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.818762
190,6.636631,762.52,nan,nan,3.998475e-04,124961,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.636631
200,6.488610,657.61,nan,nan,3.997567e-04,124292,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.488610
210,6.559740,706.09,nan,nan,3.996448e-04,123151,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.559740
220,6.529476,685.04,nan,nan,3.995118e-04,124155,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.529476
