step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.271778,213582.43,nan,nan,2.631579e-06,3648,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.271778
10,12.109797,181642.64,nan,nan,2.631579e-05,91299,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.109797
20,11.821312,136122.70,nan,nan,5.263158e-05,122012,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.821312
30,11.137519,68700.99,nan,nan,7.894737e-05,122141,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.137519
40,10.855480,51817.34,nan,nan,1.052632e-04,121877,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.855480
50,10.212765,27248.80,nan,nan,1.315789e-04,122083,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.212765
60,9.551693,14068.49,nan,nan,1.578947e-04,120489,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.551693
70,8.992807,8045.01,nan,nan,1.842105e-04,122035,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.992807
80,8.327170,4134.70,nan,nan,2.105263e-04,122047,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.327170
90,7.904988,2710.77,nan,nan,2.368421e-04,122192,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.904988
100,7.582397,1963.33,nan,nan,2.631579e-04,121987,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.582397
110,7.321593,1512.61,nan,nan,2.894737e-04,120490,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.321593
120,7.304647,1487.19,nan,nan,3.157895e-04,122058,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.304647
130,7.067472,1173.18,nan,nan,3.421053e-04,122139,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.067472
140,6.929404,1021.89,nan,nan,3.684211e-04,122007,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.929404
150,6.845220,939.38,nan,nan,3.947368e-04,122081,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.845220
160,6.807033,904.18,nan,nan,3.999932e-04,120507,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.807033
170,6.697420,810.31,nan,nan,3.999658e-04,122087,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.697420
180,6.818608,914.71,nan,nan,3.999172e-04,121331,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.818608
190,6.622884,752.11,nan,nan,3.998475e-04,122019,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.622884
200,6.477548,650.37,nan,nan,3.997567e-04,121496,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.477548
210,6.556158,703.56,nan,nan,3.996448e-04,120502,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.556158
220,6.519234,678.06,nan,nan,3.995118e-04,122016,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.519234
230,6.603607,737.75,nan,nan,3.993578e-04,122027,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.603607
240,6.335729,564.38,nan,nan,3.991827e-04,122002,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.335729
250,6.539413,691.88,6.404130,604.34,3.989866e-04,122025,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.539413
260,6.345615,569.99,nan,nan,3.987695e-04,16275,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.345615
270,6.281245,534.45,nan,nan,3.985313e-04,122101,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.281245
280,6.383821,592.19,nan,nan,3.982723e-04,121991,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.383821
290,6.449563,632.43,nan,nan,3.979923e-04,122169,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.449563
300,6.128494,458.74,nan,nan,3.976915e-04,121994,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.128494
310,6.309846,549.96,nan,nan,3.973697e-04,120391,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.309846
320,6.276428,531.89,nan,nan,3.970272e-04,121815,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.276428
330,6.238962,512.33,nan,nan,3.966639e-04,122046,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.238962
340,6.213169,499.28,nan,nan,3.962799e-04,120604,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.213169
350,6.158533,472.73,nan,nan,3.958751e-04,121504,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.158533
360,6.073451,434.18,nan,nan,3.954498e-04,120407,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.073451
370,6.079732,436.91,nan,nan,3.950038e-04,122055,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.079732
380,6.116701,453.37,nan,nan,3.945373e-04,122031,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.116701
390,5.957365,386.59,nan,nan,3.940503e-04,122157,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.957365
400,6.141105,464.57,nan,nan,3.935429e-04,121599,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.141105
410,5.950035,383.77,nan,nan,3.930152e-04,120478,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.950035
420,6.040122,419.94,nan,nan,3.924671e-04,122081,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.040122
430,5.898539,364.50,nan,nan,3.918988e-04,121557,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.898539
440,5.712473,302.62,nan,nan,3.913103e-04,121364,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.712473
450,5.966273,390.05,nan,nan,3.907017e-04,121218,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.966273
460,6.017097,410.39,nan,nan,3.900731e-04,120502,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.017097
470,5.924094,373.94,nan,nan,3.894245e-04,122031,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.924094
