step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.287973,217069.62,nan,nan,2.631579e-06,3474,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.287973
10,12.116930,182943.02,nan,nan,2.631579e-05,83130,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.116930
20,11.819078,135819.01,nan,nan,5.263158e-05,123248,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.819078
30,11.095914,65901.33,nan,nan,7.894737e-05,123509,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.095914
40,10.817462,49884.32,nan,nan,1.052632e-04,123498,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.817462
50,10.190024,26636.14,nan,nan,1.315789e-04,124311,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.190024
60,9.532463,13800.54,nan,nan,1.578947e-04,122512,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.532463
70,8.960821,7791.75,nan,nan,1.842105e-04,124259,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.960821
80,8.308580,4058.55,nan,nan,2.105263e-04,122818,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.308580
90,7.888254,2665.78,nan,nan,2.368421e-04,123687,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.888254
100,7.569983,1939.11,nan,nan,2.631579e-04,123515,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.569983
110,7.313828,1500.91,nan,nan,2.894737e-04,122566,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.313828
120,7.300526,1481.08,nan,nan,3.157895e-04,123926,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.300526
130,7.063511,1168.54,nan,nan,3.421053e-04,124360,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.063511
140,6.941437,1034.26,nan,nan,3.684211e-04,123046,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.941437
150,6.853040,946.75,nan,nan,3.947368e-04,124358,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.853040
160,6.821818,917.65,nan,nan,3.999932e-04,122511,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.821818
170,6.705787,817.12,nan,nan,3.999658e-04,124371,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.705787
180,6.816767,913.03,nan,nan,3.999172e-04,122762,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.816767
190,6.632936,759.71,nan,nan,3.998475e-04,123373,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.632936
200,6.487445,656.84,nan,nan,3.997567e-04,124050,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.487445
210,6.564546,709.49,nan,nan,3.996448e-04,122537,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.564546
220,6.530111,685.47,nan,nan,3.995118e-04,123970,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.530111
230,6.608713,741.53,nan,nan,3.993578e-04,124253,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.608713
240,6.342893,568.44,nan,nan,3.991827e-04,123050,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.342893
250,6.545082,695.81,6.407967,606.66,3.989866e-04,123044,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.545082
260,6.350324,572.68,nan,nan,3.987695e-04,15650,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.350324
270,6.280269,533.93,nan,nan,3.985313e-04,122923,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.280269
280,6.391797,596.93,nan,nan,3.982723e-04,124040,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.391797
290,6.448981,632.06,nan,nan,3.979923e-04,122998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.448981
300,6.137083,462.70,nan,nan,3.976915e-04,122877,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.137083
310,6.314110,552.31,nan,nan,3.973697e-04,121256,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.314110
320,6.279840,533.70,nan,nan,3.970272e-04,122703,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.279840
330,6.240025,512.87,nan,nan,3.966639e-04,122901,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.240025
