step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.297237,219089.89,nan,nan,2.631579e-06,3258,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.297237
10,12.022448,166449.56,nan,nan,2.631579e-05,84380,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.022448
20,11.638025,113326.16,nan,nan,5.263158e-05,120136,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.638025
30,11.246609,76619.64,nan,nan,7.894737e-05,118977,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.246609
40,10.951849,57059.45,nan,nan,1.052632e-04,119815,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.951849
50,10.379415,32190.11,nan,nan,1.315789e-04,120033,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.379415
60,9.752196,17191.95,nan,nan,1.578947e-04,118591,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.752196
70,9.199093,9888.16,nan,nan,1.842105e-04,119678,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.199093
80,8.567669,5258.86,nan,nan,2.105263e-04,118852,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.567669
90,8.155636,3482.95,nan,nan,2.368421e-04,119551,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.155636
100,7.860843,2593.71,nan,nan,2.631579e-04,120086,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.860843
110,7.662380,2126.81,nan,nan,2.894737e-04,118712,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.662380
120,7.659071,2119.79,nan,nan,3.157895e-04,119624,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.659071
130,7.441531,1705.36,nan,nan,3.421053e-04,120277,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.441531
140,7.295877,1474.21,nan,nan,3.684211e-04,118803,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.295877
150,7.178056,1310.36,nan,nan,3.947368e-04,120164,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.178056
