step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.272013,213632.54,nan,nan,2.631579e-06,3920,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.272013
10,12.102034,180238.02,nan,nan,2.631579e-05,90799,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.102034
20,11.815907,135388.88,nan,nan,5.263158e-05,125765,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.815907
30,11.142131,69018.57,nan,nan,7.894737e-05,125873,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.142131
40,10.856545,51872.57,nan,nan,1.052632e-04,125855,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.856545
50,10.216463,27349.76,nan,nan,1.315789e-04,125739,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.216463
60,9.557709,14153.38,nan,nan,1.578947e-04,123882,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.557709
70,8.999195,8096.56,nan,nan,1.842105e-04,125859,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.999195
80,8.333242,4159.88,nan,nan,2.105263e-04,125857,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.333242
90,7.908607,2720.60,nan,nan,2.368421e-04,125943,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.908607
100,7.583421,1965.34,nan,nan,2.631579e-04,125732,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.583421
110,7.320225,1510.54,nan,nan,2.894737e-04,123969,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.320225
120,7.303561,1485.58,nan,nan,3.157895e-04,125806,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.303561
130,7.059303,1163.63,nan,nan,3.421053e-04,125868,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.059303
140,6.929276,1021.75,nan,nan,3.684211e-04,125766,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.929276
150,6.848384,942.36,nan,nan,3.947368e-04,125857,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.848384
160,6.808854,905.83,nan,nan,3.999932e-04,123997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.808854
170,6.703437,815.20,nan,nan,3.999658e-04,125883,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.703437
180,6.826290,921.76,nan,nan,3.999172e-04,125972,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.826290
190,6.626449,754.80,nan,nan,3.998475e-04,125809,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.626449
200,6.478393,650.92,nan,nan,3.997567e-04,125785,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.478393
210,6.558725,705.37,nan,nan,3.996448e-04,123976,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.558725
220,6.524814,681.85,nan,nan,3.995118e-04,125769,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.524814
