step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.272785,213797.63,nan,nan,2.631579e-06,4066,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.272785
10,12.118414,183214.69,nan,nan,2.631579e-05,91901,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.118414
20,11.830694,137405.85,nan,nan,5.263158e-05,123540,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.830694
30,11.136596,68637.60,nan,nan,7.894737e-05,123647,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.136596
40,10.857800,51937.71,nan,nan,1.052632e-04,123652,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.857800
50,10.211369,27210.78,nan,nan,1.315789e-04,123598,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.211369
60,9.549795,14041.82,nan,nan,1.578947e-04,121848,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.549795
70,8.988382,8009.49,nan,nan,1.842105e-04,123596,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.988382
80,8.324918,4125.40,nan,nan,2.105263e-04,123648,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.324918
90,7.904147,2708.49,nan,nan,2.368421e-04,123754,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.904147
100,7.585305,1969.05,nan,nan,2.631579e-04,123476,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.585305
110,7.326211,1519.61,nan,nan,2.894737e-04,121920,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.326211
120,7.308048,1492.26,nan,nan,3.157895e-04,123527,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.308048
130,7.067276,1172.95,nan,nan,3.421053e-04,123618,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.067276
140,6.933517,1026.10,nan,nan,3.684211e-04,123525,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.933517
150,6.850043,943.92,nan,nan,3.947368e-04,123590,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.850043
160,6.810500,907.32,nan,nan,3.999932e-04,121306,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.810500
170,6.701449,813.58,nan,nan,3.999658e-04,123063,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.701449
180,6.821514,917.37,nan,nan,3.999172e-04,123713,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.821514
190,6.627356,755.48,nan,nan,3.998475e-04,123584,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.627356
200,6.481354,652.85,nan,nan,3.997567e-04,123167,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.481354
210,6.557623,704.60,nan,nan,3.996448e-04,121933,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.557623
220,6.523103,680.69,nan,nan,3.995118e-04,123575,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.523103
230,6.605978,739.50,nan,nan,3.993578e-04,123538,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.605978
240,6.340611,567.14,nan,nan,3.991827e-04,123564,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.340611
250,6.539375,691.85,6.405824,605.36,3.989866e-04,123175,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.539375
260,6.348289,571.51,nan,nan,3.987695e-04,19187,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.348289
270,6.281358,534.51,nan,nan,3.985313e-04,114462,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.281358
280,6.387788,594.54,nan,nan,3.982723e-04,123169,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.387788
290,6.446584,630.54,nan,nan,3.979923e-04,123634,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.446584
300,6.134135,461.34,nan,nan,3.976915e-04,123484,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.134135
310,6.313084,551.74,nan,nan,3.973697e-04,121813,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.313084
320,6.281653,534.67,nan,nan,3.970272e-04,123313,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.281653
330,6.242765,514.28,nan,nan,3.966639e-04,123578,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.242765
340,6.213263,499.33,nan,nan,3.962799e-04,123584,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.213263
350,6.159528,473.20,nan,nan,3.958751e-04,123548,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.159528
360,6.072733,433.86,nan,nan,3.954498e-04,121870,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.072733
370,6.078928,436.56,nan,nan,3.950038e-04,123565,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.078928
380,6.118751,454.30,nan,nan,3.945373e-04,121983,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.118751
390,5.955907,386.03,nan,nan,3.940503e-04,123669,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.955907
400,6.138319,463.27,nan,nan,3.935429e-04,123638,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.138319
410,5.951907,384.49,nan,nan,3.930152e-04,121865,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.951907
420,6.043838,421.51,nan,nan,3.924671e-04,122033,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.043838
430,5.901795,365.69,nan,nan,3.918988e-04,123544,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.901795
440,5.714705,303.29,nan,nan,3.913103e-04,123835,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.714705
450,5.971742,392.19,nan,nan,3.907017e-04,123553,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.971742
460,6.021335,412.13,nan,nan,3.900731e-04,121943,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.021335
