step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.294300,218447.30,nan,nan,2.631579e-06,28390,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.294300
10,11.868486,142698.09,nan,nan,2.631579e-05,120123,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.868486
20,11.537321,102469.56,nan,nan,5.263158e-05,121218,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.537321
30,11.169159,70909.45,nan,nan,7.894737e-05,120031,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.169159
40,10.885618,53402.79,nan,nan,1.052632e-04,121280,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.885618
50,10.279424,29127.08,nan,nan,1.315789e-04,121178,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.279424
60,9.623018,15108.58,nan,nan,1.578947e-04,116912,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.623018
70,9.060912,8612.00,nan,nan,1.842105e-04,121115,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.060912
80,8.451652,4682.80,nan,nan,2.105263e-04,120798,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.451652
90,8.060326,3166.32,nan,nan,2.368421e-04,121772,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.060326
100,7.739482,2297.28,nan,nan,2.631579e-04,121467,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.739482
110,7.508360,1823.22,nan,nan,2.894737e-04,117126,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.508360
120,7.529495,1862.16,nan,nan,3.157895e-04,121524,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.529495
130,7.261290,1424.09,nan,nan,3.421053e-04,121605,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.261290
140,7.134192,1254.12,nan,nan,3.684211e-04,121579,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.134192
150,7.029127,1129.04,nan,nan,3.947368e-04,120692,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.029127
160,7.002377,1099.24,nan,nan,3.999932e-04,117151,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.002377
170,6.881273,973.87,nan,nan,3.999658e-04,121141,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.881273
180,6.992676,1088.63,nan,nan,3.999172e-04,121661,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.992676
190,6.782636,882.39,nan,nan,3.998475e-04,120997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.782636
200,6.643577,767.84,nan,nan,3.997567e-04,121646,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.643577
210,6.711870,822.11,nan,nan,3.996448e-04,117062,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.711870
220,6.661105,781.41,nan,nan,3.995118e-04,120937,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.661105
230,6.744808,849.64,nan,nan,3.993578e-04,121561,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.744808
240,6.484912,655.18,nan,nan,3.991827e-04,121658,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.484912
250,6.657109,778.30,6.502064,666.52,3.989866e-04,121078,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.657109
260,6.484940,655.20,nan,nan,3.987695e-04,50139,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.484940
270,6.395795,599.32,nan,nan,3.985313e-04,121564,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.395795
280,6.459957,639.03,nan,nan,3.982723e-04,121384,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.459957
290,6.545147,695.86,nan,nan,3.979923e-04,121661,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.545147
300,6.237932,511.80,nan,nan,3.976915e-04,120697,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.237932
310,6.416261,611.71,nan,nan,3.973697e-04,117202,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.416261
320,6.358897,577.61,nan,nan,3.970272e-04,120488,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.358897
330,6.331582,562.04,nan,nan,3.966639e-04,121584,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.331582
340,6.282554,535.15,nan,nan,3.962799e-04,120567,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.282554
350,6.230192,507.85,nan,nan,3.958751e-04,121643,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.230192
360,6.146005,466.85,nan,nan,3.954498e-04,116403,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.146005
370,6.136792,462.57,nan,nan,3.950038e-04,121500,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.136792
380,6.185879,485.84,nan,nan,3.945373e-04,121079,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.185879
390,6.014825,409.45,nan,nan,3.940503e-04,121603,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.014825
400,6.198271,491.90,nan,nan,3.935429e-04,120684,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.198271
410,5.971486,392.09,nan,nan,3.930152e-04,117159,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.971486
420,6.093879,443.14,nan,nan,3.924671e-04,121007,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.093879
430,5.958692,387.10,nan,nan,3.918988e-04,121673,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.958692
440,5.773876,321.78,nan,nan,3.913103e-04,119870,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.773876
450,6.018254,410.86,nan,nan,3.907017e-04,121519,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.018254
460,6.072688,433.85,nan,nan,3.900731e-04,117058,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.072688
