step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.298080,219274.67,nan,nan,2.631579e-06,11910,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.298080
10,11.822304,136257.77,nan,nan,2.631579e-05,110469,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.822304
20,11.499538,98670.22,nan,nan,5.263158e-05,109254,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.499538
30,11.124395,67805.28,nan,nan,7.894737e-05,112428,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.124395
40,10.835082,50771.07,nan,nan,1.052632e-04,111743,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.835082
50,10.232721,27798.05,nan,nan,1.315789e-04,111128,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.232721
60,9.573488,14378.48,nan,nan,1.578947e-04,106676,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.573488
70,9.013703,8214.89,nan,nan,1.842105e-04,109806,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.013703
80,8.410784,4495.28,nan,nan,2.105263e-04,112804,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.410784
90,8.023911,3053.10,nan,nan,2.368421e-04,113306,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.023911
100,7.740665,2300.00,nan,nan,2.631579e-04,114882,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.740665
110,7.514421,1834.31,nan,nan,2.894737e-04,115138,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.514421
120,7.499955,1807.96,nan,nan,3.157895e-04,118902,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.499955
130,7.262864,1426.34,nan,nan,3.421053e-04,119455,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.262864
140,7.130893,1249.99,nan,nan,3.684211e-04,119576,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.130893
150,7.003541,1100.52,nan,nan,3.947368e-04,119088,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.003541
160,6.985938,1081.32,nan,nan,3.999932e-04,115180,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.985938
170,6.853439,947.13,nan,nan,3.999658e-04,119405,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.853439
180,6.957920,1051.44,nan,nan,3.999172e-04,119769,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.957920
190,6.757175,860.21,nan,nan,3.998475e-04,117526,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.757175
200,6.613326,744.96,nan,nan,3.997567e-04,118930,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.613326
210,6.678771,795.34,nan,nan,3.996448e-04,112455,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.678771
220,6.632477,759.36,nan,nan,3.995118e-04,119168,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.632477
230,6.710961,821.36,nan,nan,3.993578e-04,119183,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.710961
240,6.452063,634.01,nan,nan,3.991827e-04,118836,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.452063
250,6.629086,756.79,6.470446,645.77,3.989866e-04,119085,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.629086
260,6.455503,636.19,nan,nan,3.987695e-04,39667,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.455503
270,6.358954,577.64,nan,nan,3.985313e-04,118605,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.358954
280,6.437025,624.55,nan,nan,3.982723e-04,119047,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.437025
290,6.513509,674.19,nan,nan,3.979923e-04,119633,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.513509
300,6.199581,492.54,nan,nan,3.976915e-04,119102,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.199581
310,6.379834,589.83,nan,nan,3.973697e-04,114665,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.379834
320,6.335280,564.13,nan,nan,3.970272e-04,117733,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.335280
330,6.300201,544.68,nan,nan,3.966639e-04,119702,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.300201
340,6.254924,520.57,nan,nan,3.962799e-04,119676,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.254924
350,6.204973,495.21,nan,nan,3.958751e-04,118822,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.204973
360,6.128942,458.95,nan,nan,3.954498e-04,115346,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.128942
370,6.110726,450.67,nan,nan,3.950038e-04,119054,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.110726
380,6.164119,475.38,nan,nan,3.945373e-04,119355,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.164119
390,5.987941,398.59,nan,nan,3.940503e-04,119857,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.987941
400,6.168645,477.54,nan,nan,3.935429e-04,119447,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.168645
410,5.962912,388.74,nan,nan,3.930152e-04,115331,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.962912
420,6.063296,429.79,nan,nan,3.924671e-04,119355,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.063296
430,5.931383,376.67,nan,nan,3.918988e-04,119764,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.931383
440,5.743715,312.22,nan,nan,3.913103e-04,119047,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.743715
450,5.995131,401.47,nan,nan,3.907017e-04,119036,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.995131
460,6.026374,414.21,nan,nan,3.900731e-04,115037,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.026374
470,5.917058,371.32,nan,nan,3.894245e-04,119370,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.917058
480,5.808342,333.07,nan,nan,3.887560e-04,119028,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.808342
490,5.944103,381.50,nan,nan,3.880678e-04,119693,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.944103
500,5.989682,399.29,5.902371,365.90,3.873598e-04,118945,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.989682
