step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.274414,214146.16,nan,nan,2.631579e-06,42097,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.274414
10,11.823172,136376.08,nan,nan,2.631579e-05,92748,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.823172
20,11.515139,100221.56,nan,nan,5.263158e-05,93378,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.515139
30,11.132007,68323.34,nan,nan,7.894737e-05,93444,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.132007
40,10.858961,51998.03,nan,nan,1.052632e-04,93445,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.858961
50,10.244221,28119.56,nan,nan,1.315789e-04,93449,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.244221
60,9.598003,14735.33,nan,nan,1.578947e-04,89442,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.598003
70,9.057903,8586.13,nan,nan,1.842105e-04,93416,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.057903
80,8.428249,4574.48,nan,nan,2.105263e-04,93438,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.428249
90,8.039105,3099.84,nan,nan,2.368421e-04,93498,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.039105
100,7.709226,2228.82,nan,nan,2.631579e-04,93379,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.709226
110,7.464922,1745.72,nan,nan,2.894737e-04,89726,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.464922
120,7.462313,1741.17,nan,nan,3.157895e-04,93439,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.462313
130,7.248098,1405.43,nan,nan,3.421053e-04,93503,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.248098
140,7.105262,1218.36,nan,nan,3.684211e-04,93465,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.105262
150,7.003577,1100.56,nan,nan,3.947368e-04,93488,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.003577
160,6.992262,1088.18,nan,nan,3.999932e-04,89805,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.992262
170,6.870913,963.83,nan,nan,3.999658e-04,93516,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.870913
180,6.974368,1068.88,nan,nan,3.999172e-04,93546,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.974368
190,6.763275,865.47,nan,nan,3.998475e-04,93481,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.763275
200,6.620025,749.96,nan,nan,3.997567e-04,93444,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.620025
210,6.694225,807.73,nan,nan,3.996448e-04,89984,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.694225
220,6.640278,765.31,nan,nan,3.995118e-04,93463,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.640278
230,6.720139,828.93,nan,nan,3.993578e-04,93476,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.720139
240,6.465078,642.31,nan,nan,3.991827e-04,93459,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.465078
250,6.644272,768.37,6.488405,657.47,3.989866e-04,93436,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.644272
260,6.462971,640.96,nan,nan,3.987695e-04,45451,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.462971
270,6.383045,591.73,nan,nan,3.985313e-04,93486,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.383045
280,6.433855,622.57,nan,nan,3.982723e-04,93436,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.433855
290,6.538606,691.32,nan,nan,3.979923e-04,93495,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.538606
300,6.208796,497.10,nan,nan,3.976915e-04,93457,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.208796
310,6.390012,595.86,nan,nan,3.973697e-04,89974,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.390012
320,6.343940,569.03,nan,nan,3.970272e-04,93376,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.343940
330,6.319704,555.41,nan,nan,3.966639e-04,93457,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.319704
340,6.262597,524.58,nan,nan,3.962799e-04,93460,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.262597
350,6.220572,502.99,nan,nan,3.958751e-04,93439,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.220572
360,6.147789,467.68,nan,nan,3.954498e-04,88353,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.147789
370,6.121611,455.60,nan,nan,3.950038e-04,93437,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.121611
380,6.179229,482.62,nan,nan,3.945373e-04,93440,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.179229
390,6.009609,407.32,nan,nan,3.940503e-04,93474,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.009609
400,6.191225,488.44,nan,nan,3.935429e-04,93422,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.191225
410,5.966425,390.11,nan,nan,3.930152e-04,90008,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.966425
420,6.074815,434.77,nan,nan,3.924671e-04,93470,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.074815
430,5.942995,381.07,nan,nan,3.918988e-04,93460,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.942995
440,5.754517,315.61,nan,nan,3.913103e-04,93550,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.754517
450,6.005915,405.82,nan,nan,3.907017e-04,93468,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.005915
460,6.042557,420.97,nan,nan,3.900731e-04,90020,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.042557
470,5.939375,379.70,nan,nan,3.894245e-04,93462,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.939375
480,5.811982,334.28,nan,nan,3.887560e-04,93482,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.811982
490,5.945932,382.20,nan,nan,3.880678e-04,93475,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.945932
500,5.992594,400.45,5.899205,364.75,3.873598e-04,93493,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.992594
510,5.827089,339.37,nan,nan,3.866321e-04,45337,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.827089
520,5.692309,296.58,nan,nan,3.858849e-04,93505,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.692309
530,5.759581,317.22,nan,nan,3.851183e-04,93478,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.759581
540,5.776006,322.47,nan,nan,3.843323e-04,93510,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.776006
550,6.068743,432.14,nan,nan,3.835269e-04,93506,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.068743
560,5.860439,350.88,nan,nan,3.827024e-04,90041,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.860439
570,5.683485,293.97,nan,nan,3.818588e-04,93494,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.683485
580,5.400558,221.53,nan,nan,3.809962e-04,93572,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.400558
590,6.213027,499.21,nan,nan,3.801147e-04,93451,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.213027
600,5.957000,386.45,nan,nan,3.792145e-04,93464,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.957000
610,5.847651,346.42,nan,nan,3.782955e-04,90035,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.847651
620,5.697663,298.17,nan,nan,3.773580e-04,93523,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.697663
630,5.741177,311.43,nan,nan,3.764020e-04,93494,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.741177
640,5.752445,314.96,nan,nan,3.754276e-04,93443,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.752445
650,5.647099,283.47,nan,nan,3.744350e-04,93523,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.647099
660,5.545186,256.00,nan,nan,3.734243e-04,90038,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.545186
670,5.320227,204.43,nan,nan,3.723955e-04,93473,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.320227
680,5.512872,247.86,nan,nan,3.713489e-04,93521,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.512872
690,5.604016,271.51,nan,nan,3.702845e-04,93497,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.604016
700,5.523332,250.47,nan,nan,3.692025e-04,93472,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.523332
710,5.808800,333.22,nan,nan,3.681030e-04,90047,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.808800
720,5.826387,339.13,nan,nan,3.669861e-04,93505,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.826387
730,5.794709,328.56,nan,nan,3.658519e-04,93507,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.794709
740,5.661815,287.67,nan,nan,3.647007e-04,93519,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.661815
750,5.613407,274.08,5.592962,268.53,3.635324e-04,93502,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.613407
760,5.642262,282.10,nan,nan,3.623473e-04,45361,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.642262
770,5.613894,274.21,nan,nan,3.611455e-04,93469,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.613894
780,5.642102,282.05,nan,nan,3.599272e-04,93395,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.642102
790,5.747020,313.26,nan,nan,3.586924e-04,93470,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.747020
800,5.521801,250.09,nan,nan,3.574413e-04,93617,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.521801
810,5.520699,249.81,nan,nan,3.561741e-04,90035,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.520699
