step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.298449,219355.41,nan,nan,2.631579e-06,39956,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.298449
10,11.822355,136264.79,nan,nan,2.631579e-05,91298,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.822355
20,11.503151,99027.31,nan,nan,5.263158e-05,92382,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.503151
30,11.128491,68083.58,nan,nan,7.894737e-05,92482,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.128491
40,10.848746,51469.58,nan,nan,1.052632e-04,92453,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.848746
50,10.248628,28243.76,nan,nan,1.315789e-04,92484,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.248628
60,9.595980,14705.54,nan,nan,1.578947e-04,88705,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.595980
70,9.036188,8401.69,nan,nan,1.842105e-04,92464,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.036188
80,8.431231,4588.14,nan,nan,2.105263e-04,92485,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.431231
90,8.038683,3098.53,nan,nan,2.368421e-04,92462,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.038683
100,7.745027,2310.06,nan,nan,2.631579e-04,92436,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.745027
110,7.508494,1823.47,nan,nan,2.894737e-04,89014,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.508494
120,7.514486,1834.42,nan,nan,3.157895e-04,92413,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.514486
130,7.281397,1453.02,nan,nan,3.421053e-04,92481,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.281397
140,7.114456,1229.61,nan,nan,3.684211e-04,92434,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.114456
150,7.014421,1112.56,nan,nan,3.947368e-04,92461,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.014421
160,6.993824,1089.88,nan,nan,3.999932e-04,89006,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.993824
170,6.860548,953.89,nan,nan,3.999658e-04,92453,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.860548
180,6.973545,1068.00,nan,nan,3.999172e-04,92455,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.973545
190,6.768898,870.35,nan,nan,3.998475e-04,92423,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.768898
200,6.619471,749.55,nan,nan,3.997567e-04,92426,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.619471
210,6.698788,811.42,nan,nan,3.996448e-04,88983,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.698788
220,6.638803,764.18,nan,nan,3.995118e-04,92449,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.638803
