step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.303595,220487.13,nan,nan,2.631579e-06,46059,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.303595
10,11.883789,144898.54,nan,nan,2.631579e-05,86429,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.883789
20,11.575020,106406.28,nan,nan,5.263158e-05,87031,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.575020
30,11.212762,74069.70,nan,nan,7.894737e-05,87107,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.212762
40,10.922893,55430.91,nan,nan,1.052632e-04,87057,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.922893
50,10.329030,30608.41,nan,nan,1.315789e-04,87100,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.329030
60,9.667877,15801.77,nan,nan,1.578947e-04,83792,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.667877
70,9.108824,9034.66,nan,nan,1.842105e-04,87103,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.108824
80,8.486563,4849.17,nan,nan,2.105263e-04,87117,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.486563
90,8.079613,3227.98,nan,nan,2.368421e-04,87173,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.079613
