step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.277111,214724.49,nan,nan,2.631579e-06,46934,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.277111
10,11.836315,138180.37,nan,nan,2.631579e-05,88168,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.836315
20,11.545603,103321.71,nan,nan,5.263158e-05,88995,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.545603
30,11.183794,71954.84,nan,nan,7.894737e-05,89087,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.183794
40,10.902308,54301.57,nan,nan,1.052632e-04,89058,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.902308
50,10.289712,29428.30,nan,nan,1.315789e-04,89059,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.289712
60,9.629633,15208.85,nan,nan,1.578947e-04,85900,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.629633
70,9.069906,8689.81,nan,nan,1.842105e-04,89021,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.069906
80,8.454157,4694.55,nan,nan,2.105263e-04,89009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.454157
90,8.070153,3197.59,nan,nan,2.368421e-04,89013,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.070153
100,7.736166,2289.68,nan,nan,2.631579e-04,88997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.736166
110,7.506079,1819.07,nan,nan,2.894737e-04,85872,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.506079
120,7.515102,1835.56,nan,nan,3.157895e-04,89024,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.515102
130,7.254798,1414.88,nan,nan,3.421053e-04,89040,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.254798
140,7.098131,1209.70,nan,nan,3.684211e-04,88976,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.098131
150,7.004087,1101.12,nan,nan,3.947368e-04,89032,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.004087
160,6.963120,1056.93,nan,nan,3.999932e-04,85874,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.963120
170,6.843472,937.74,nan,nan,3.999658e-04,89014,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.843472
