step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.296162,218854.34,nan,nan,2.631579e-06,47229,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.296162
10,11.821669,136171.26,nan,nan,2.631579e-05,93233,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.821669
20,11.503437,99055.65,nan,nan,5.263158e-05,94022,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.503437
30,11.128609,68091.57,nan,nan,7.894737e-05,94126,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.128609
40,10.848715,51467.96,nan,nan,1.052632e-04,94108,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.848715
50,10.251572,28327.03,nan,nan,1.315789e-04,94061,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.251572
60,9.599288,14754.27,nan,nan,1.578947e-04,90190,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.599288
70,9.036797,8406.80,nan,nan,1.842105e-04,94090,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.036797
80,8.428421,4575.27,nan,nan,2.105263e-04,94109,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.428421
90,8.034923,3086.90,nan,nan,2.368421e-04,94153,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.034923
100,7.737213,2292.08,nan,nan,2.631579e-04,94060,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.737213
110,7.515809,1836.85,nan,nan,2.894737e-04,90289,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.515809
120,7.517093,1839.21,nan,nan,3.157895e-04,94148,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.517093
130,7.308681,1493.21,nan,nan,3.421053e-04,94180,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.308681
140,7.135780,1256.12,nan,nan,3.684211e-04,94144,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.135780
150,7.023477,1122.68,nan,nan,3.947368e-04,94172,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.023477
160,7.032751,1133.14,nan,nan,3.999932e-04,90239,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.032751
170,6.896329,988.64,nan,nan,3.999658e-04,94098,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.896329
180,6.989938,1085.65,nan,nan,3.999172e-04,94125,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.989938
190,6.788061,887.19,nan,nan,3.998475e-04,94068,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.788061
200,6.651299,773.79,nan,nan,3.997567e-04,94067,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.651299
210,6.712078,822.28,nan,nan,3.996448e-04,90244,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.712078
220,6.659890,780.47,nan,nan,3.995118e-04,94081,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.659890
230,6.745035,849.83,nan,nan,3.993578e-04,94084,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.745035
240,6.493433,660.79,nan,nan,3.991827e-04,94090,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.493433
250,6.658571,779.44,6.509062,671.20,3.989866e-04,94086,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.658571
260,6.483040,653.96,nan,nan,3.987695e-04,45563,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.483040
270,6.401634,602.83,nan,nan,3.985313e-04,94080,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.401634
280,6.460991,639.69,nan,nan,3.982723e-04,94044,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.460991
290,6.545244,695.93,nan,nan,3.979923e-04,94080,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.545244
300,6.222651,504.04,nan,nan,3.976915e-04,94050,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.222651
310,6.407586,606.43,nan,nan,3.973697e-04,90170,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.407586
320,6.369110,583.54,nan,nan,3.970272e-04,93993,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.369110
330,6.331074,561.76,nan,nan,3.966639e-04,94086,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.331074
340,6.271518,529.28,nan,nan,3.962799e-04,94087,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.271518
350,6.223743,504.59,nan,nan,3.958751e-04,94080,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.223743
360,6.154637,470.90,nan,nan,3.954498e-04,90176,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.154637
370,6.138635,463.42,nan,nan,3.950038e-04,94082,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.138635
380,6.184254,485.05,nan,nan,3.945373e-04,94090,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.184254
390,6.016319,410.07,nan,nan,3.940503e-04,94126,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.016319
400,6.197656,491.60,nan,nan,3.935429e-04,94102,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.197656
410,5.979606,395.28,nan,nan,3.930152e-04,90214,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.979606
