step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss
1,12.315985,223235.99,nan,nan,2.631579e-06,47872,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,12.315985
10,11.875656,143724.87,nan,nan,2.631579e-05,94145,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.875656
20,11.534000,102129.86,nan,nan,5.263158e-05,94351,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.534000
30,11.179134,71620.34,nan,nan,7.894737e-05,94357,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,11.179134
40,10.909134,54673.47,nan,nan,1.052632e-04,94328,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.909134
50,10.302933,29819.94,nan,nan,1.315789e-04,94287,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,10.302933
60,9.651468,15544.60,nan,nan,1.578947e-04,90840,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.651468
70,9.095978,8919.34,nan,nan,1.842105e-04,94303,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,9.095978
80,8.475503,4795.83,nan,nan,2.105263e-04,94387,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.475503
90,8.064102,3178.30,nan,nan,2.368421e-04,94423,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,8.064102
100,7.734733,2286.40,nan,nan,2.631579e-04,94361,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.734733
110,7.479045,1770.55,nan,nan,2.894737e-04,90875,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.479045
120,7.466516,1748.50,nan,nan,3.157895e-04,94324,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.466516
130,7.218504,1364.45,nan,nan,3.421053e-04,94346,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.218504
140,7.074512,1181.47,nan,nan,3.684211e-04,94307,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,7.074512
150,6.977065,1071.77,nan,nan,3.947368e-04,94330,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.977065
160,6.966187,1060.17,nan,nan,3.999932e-04,90843,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.966187
170,6.839646,934.16,nan,nan,3.999658e-04,94317,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,6.839646
