architecture,task,parameters,step,distance,examples,accuracy,mean_rank,mean_margin,nll,elapsed_seconds
gqa,associative_recall,262848,1,8,256,0.0,115.29296875,-1.126279890537262,5.536164402961731,0.4825670000000173
gqa,associative_recall,262848,1,16,256,0.0,126.90625,-1.1900683641433716,5.562641143798828,0.4825670000000173
gqa,associative_recall,262848,1,32,256,0.0,124.03125,-1.2111576199531555,5.555480122566223,0.4825670000000173
gqa,associative_recall,262848,1,64,256,0.0,119.5625,-1.2266678214073181,5.545707702636719,0.4825670000000173
gqa,associative_recall,262848,1,128,256,0.0,118.20703125,-1.2175925374031067,5.542895793914795,0.4825670000000173
gqa,associative_recall,262848,100,8,256,0.03515625,45.16015625,-0.7083406150341034,5.111965775489807,1.5059461399998781
gqa,associative_recall,262848,100,16,256,0.02734375,48.25,-0.735636293888092,5.125410795211792,1.5059461399998781
gqa,associative_recall,262848,100,32,256,0.01953125,48.921875,-0.7462199330329895,5.150901675224304,1.5059461399998781
gqa,associative_recall,262848,100,64,256,0.03125,62.70703125,-0.8124804794788361,5.226313591003418,1.5059461399998781
gqa,associative_recall,262848,100,128,256,0.015625,66.23828125,-0.8451008200645447,5.242533326148987,1.5059461399998781
gqa,associative_recall,262848,200,8,256,0.109375,26.44921875,-0.6913734525442123,4.653371572494507,2.539316050000025
gqa,associative_recall,262848,200,16,256,0.125,26.71484375,-0.6764201819896698,4.648256421089172,2.539316050000025
gqa,associative_recall,262848,200,32,256,0.09765625,31.91796875,-0.7706872522830963,4.729681849479675,2.539316050000025
gqa,associative_recall,262848,200,64,256,0.05859375,46.7734375,-0.9477690756320953,4.943248152732849,2.539316050000025
gqa,associative_recall,262848,200,128,256,0.02734375,50.73828125,-1.0291204303503036,5.023890972137451,2.539316050000025
gqa,associative_recall,262848,300,8,256,0.48828125,7.4375,-0.12234617676585913,3.617854595184326,3.5712226699999974
gqa,associative_recall,262848,300,16,256,0.45703125,9.9609375,-0.23368309810757637,3.6860702633857727,3.5712226699999974
gqa,associative_recall,262848,300,32,256,0.421875,11.32421875,-0.2768019028007984,3.7260655760765076,3.5712226699999974
gqa,associative_recall,262848,300,64,256,0.42578125,8.69140625,-0.23543854802846909,3.7150962948799133,3.5712226699999974
gqa,associative_recall,262848,300,128,256,0.23046875,23.14453125,-0.6992516666650772,4.1861395835876465,3.5712226699999974
gqa,associative_recall,262848,400,8,256,0.77734375,1.8515625,0.5621888190507889,2.456023156642914,4.603387299999895
gqa,associative_recall,262848,400,16,256,0.6171875,8.99609375,0.05515716411173344,2.9205140471458435,4.603387299999895
gqa,associative_recall,262848,400,32,256,0.74609375,3.3671875,0.3734726123511791,2.6266658306121826,4.603387299999895
gqa,associative_recall,262848,400,64,256,0.609375,6.6640625,0.08908689580857754,2.8841887712478638,4.603387299999895
gqa,associative_recall,262848,400,128,256,0.45703125,19.8203125,-0.5005905777215958,3.478234350681305,4.603387299999895
gqa,associative_recall,262848,500,8,256,0.94140625,1.828125,1.2506292462348938,1.5654199719429016,5.636954429999832
gqa,associative_recall,262848,500,16,256,0.87890625,2.21484375,1.063841074705124,1.7436761260032654,5.636954429999832
gqa,associative_recall,262848,500,32,256,0.95703125,1.26171875,1.2935976386070251,1.5396994650363922,5.636954429999832
gqa,associative_recall,262848,500,64,256,0.83203125,2.8515625,0.8792980909347534,1.8899018466472626,5.636954429999832
gqa,associative_recall,262848,500,128,256,0.5859375,18.91796875,-0.11556008830666542,2.88101863861084,5.636954429999832
gqa,associative_recall,262848,600,8,256,0.9765625,2.4375,2.429385006427765,0.7003555744886398,6.670976439000015
gqa,associative_recall,262848,600,16,256,0.94140625,2.11328125,2.1302599012851715,0.839043378829956,6.670976439000015
gqa,associative_recall,262848,600,32,256,0.9765625,2.71875,2.297942042350769,0.7485879957675934,6.670976439000015
gqa,associative_recall,262848,600,64,256,0.85546875,5.06640625,1.5595133304595947,1.2253272533416748,6.670976439000015
gqa,associative_recall,262848,600,128,256,0.58984375,26.79296875,-0.3326946645975113,2.7761839628219604,6.670976439000015
gqa,associative_recall,262848,700,8,256,0.99609375,1.09765625,3.468013048171997,0.2600124180316925,7.7046229989998665
gqa,associative_recall,262848,700,16,256,0.98046875,3.19921875,3.3309035301208496,0.39021333307027817,7.7046229989998665
gqa,associative_recall,262848,700,32,256,0.9765625,2.328125,3.2369659543037415,0.3919547200202942,7.7046229989998665
