architecture,task,parameters,step,distance,examples,accuracy,mean_rank,mean_margin,nll,elapsed_seconds
causal_fast_weight_conv,associative_recall,262988,1,8,256,0.0,131.21484375,-1.2821038663387299,5.570049285888672,0.9455564399977447
causal_fast_weight_conv,associative_recall,262988,1,16,256,0.0,133.58203125,-1.2957042753696442,5.5761637687683105,0.9455564399977447
causal_fast_weight_conv,associative_recall,262988,1,32,256,0.0,136.390625,-1.2849003970623016,5.581919550895691,0.9455564399977447
causal_fast_weight_conv,associative_recall,262988,1,64,256,0.0,136.3984375,-1.2995590567588806,5.582585453987122,0.9455564399977447
causal_fast_weight_conv,associative_recall,262988,1,128,256,0.0,125.8359375,-1.2599395513534546,5.561615705490112,0.9455564399977447
causal_fast_weight_conv,associative_recall,262988,100,8,256,0.0,124.87890625,-1.1860592663288116,5.55312967300415,5.728485489999002
causal_fast_weight_conv,associative_recall,262988,100,16,256,0.0,124.578125,-1.1940160393714905,5.553125381469727,5.728485489999002
causal_fast_weight_conv,associative_recall,262988,100,32,256,0.0,128.359375,-1.1871541738510132,5.561289548873901,5.728485489999002
causal_fast_weight_conv,associative_recall,262988,100,64,256,0.0,126.91796875,-1.1951881051063538,5.558214068412781,5.728485489999002
causal_fast_weight_conv,associative_recall,262988,100,128,256,0.0,123.96875,-1.1707644760608673,5.553239345550537,5.728485489999002
causal_fast_weight_conv,associative_recall,262988,200,8,256,0.00390625,116.078125,-0.43572282791137695,5.486445426940918,10.486653628999193
causal_fast_weight_conv,associative_recall,262988,200,16,256,0.0078125,116.69921875,-0.44220273196697235,5.487902998924255,10.486653628999193
causal_fast_weight_conv,associative_recall,262988,200,32,256,0.00390625,115.40625,-0.4418947324156761,5.486504912376404,10.486653628999193
causal_fast_weight_conv,associative_recall,262988,200,64,256,0.00390625,128.0234375,-0.46569686383008957,5.513836979866028,10.486653628999193
causal_fast_weight_conv,associative_recall,262988,200,128,256,0.00390625,122.8828125,-0.4576598331332207,5.50619637966156,10.486653628999193
causal_fast_weight_conv,associative_recall,262988,300,8,256,0.0078125,73.6875,-0.39909909665584564,5.319464921951294,15.33430055899953
causal_fast_weight_conv,associative_recall,262988,300,16,256,0.0078125,82.98046875,-0.4443754255771637,5.366277098655701,15.33430055899953
causal_fast_weight_conv,associative_recall,262988,300,32,256,0.0,102.1171875,-0.535196840763092,5.456080317497253,15.33430055899953
causal_fast_weight_conv,associative_recall,262988,300,64,256,0.0,112.140625,-0.5702538788318634,5.499757766723633,15.33430055899953
causal_fast_weight_conv,associative_recall,262988,300,128,256,0.0078125,109.96484375,-0.5679582059383392,5.493050694465637,15.33430055899953
causal_fast_weight_conv,associative_recall,262988,400,8,256,0.0078125,61.8046875,-0.4258076921105385,5.210551500320435,20.14968793799926
causal_fast_weight_conv,associative_recall,262988,400,16,256,0.0078125,75.7421875,-0.4962252005934715,5.291898250579834,20.14968793799926
causal_fast_weight_conv,associative_recall,262988,400,32,256,0.01171875,97.03125,-0.6158352345228195,5.423206329345703,20.14968793799926
causal_fast_weight_conv,associative_recall,262988,400,64,256,0.0,113.98828125,-0.6846744269132614,5.522643685340881,20.14968793799926
causal_fast_weight_conv,associative_recall,262988,400,128,256,0.0,109.05859375,-0.6770665496587753,5.501040577888489,20.14968793799926
causal_fast_weight_conv,associative_recall,262988,500,8,256,0.02734375,49.046875,-0.42729540914297104,5.085066795349121,24.977594167998177
causal_fast_weight_conv,associative_recall,262988,500,16,256,0.03515625,63.19140625,-0.5078652650117874,5.187357425689697,24.977594167998177
causal_fast_weight_conv,associative_recall,262988,500,32,256,0.02734375,95.4765625,-0.6697878539562225,5.376594066619873,24.977594167998177
causal_fast_weight_conv,associative_recall,262988,500,64,256,0.00390625,108.73046875,-0.7439972311258316,5.474846005439758,24.977594167998177
causal_fast_weight_conv,associative_recall,262988,500,128,256,0.0078125,110.265625,-0.7508025020360947,5.493882536888123,24.977594167998177
causal_fast_weight_conv,associative_recall,262988,600,8,256,0.05859375,41.1328125,-0.3828795999288559,4.923151731491089,29.90197720699871
causal_fast_weight_conv,associative_recall,262988,600,16,256,0.0625,58.80859375,-0.48622479289770126,5.070749998092651,29.90197720699871
causal_fast_weight_conv,associative_recall,262988,600,32,256,0.03515625,88.1484375,-0.6479862779378891,5.285672187805176,29.90197720699871
causal_fast_weight_conv,associative_recall,262988,600,64,256,0.00390625,110.703125,-0.8098505288362503,5.4766685962677,29.90197720699871
causal_fast_weight_conv,associative_recall,262988,600,128,256,0.00390625,108.34765625,-0.7600946575403214,5.483037352561951,29.90197720699871
causal_fast_weight_conv,associative_recall,262988,700,8,256,0.140625,34.8046875,-0.32414624840021133,4.729897499084473,34.591081646998646
causal_fast_weight_conv,associative_recall,262988,700,16,256,0.109375,54.96875,-0.46325399726629257,4.927342891693115,34.591081646998646
causal_fast_weight_conv,associative_recall,262988,700,32,256,0.05859375,82.35546875,-0.5861438661813736,5.183722138404846,34.591081646998646
causal_fast_weight_conv,associative_recall,262988,700,64,256,0.00390625,106.62109375,-0.77464759349823,5.44228458404541,34.591081646998646
causal_fast_weight_conv,associative_recall,262988,700,128,256,0.0,107.5234375,-0.7485297173261642,5.4783031940460205,34.591081646998646
causal_fast_weight_conv,associative_recall,262988,800,8,256,0.1953125,32.0078125,-0.30174168199300766,4.511394500732422,39.18927339699803
causal_fast_weight_conv,associative_recall,262988,800,16,256,0.15234375,48.80859375,-0.41248028725385666,4.714897871017456,39.18927339699803
causal_fast_weight_conv,associative_recall,262988,800,32,256,0.08984375,80.74609375,-0.6087528765201569,5.087549924850464,39.18927339699803
causal_fast_weight_conv,associative_recall,262988,800,64,256,0.02734375,102.49609375,-0.7721653133630753,5.379798889160156,39.18927339699803
causal_fast_weight_conv,associative_recall,262988,800,128,256,0.01953125,110.60546875,-0.8138280808925629,5.484208941459656,39.18927339699803
causal_fast_weight_conv,associative_recall,262988,900,8,256,0.3046875,29.6875,-0.26125849410891533,4.287930488586426,43.811353515997325
causal_fast_weight_conv,associative_recall,262988,900,16,256,0.25390625,46.43359375,-0.33602484315633774,4.502397418022156,43.811353515997325
causal_fast_weight_conv,associative_recall,262988,900,32,256,0.125,81.78125,-0.5551473647356033,4.996120572090149,43.811353515997325
causal_fast_weight_conv,associative_recall,262988,900,64,256,0.05078125,99.84765625,-0.6388184130191803,5.327177405357361,43.811353515997325
causal_fast_weight_conv,associative_recall,262988,900,128,256,0.015625,110.04296875,-0.6850465089082718,5.463444471359253,43.811353515997325
causal_fast_weight_conv,associative_recall,262988,1000,8,256,0.28125,29.27734375,-0.2918909415602684,4.086746394634247,48.40170580599806
causal_fast_weight_conv,associative_recall,262988,1000,16,256,0.3359375,43.7265625,-0.3681255802512169,4.320756673812866,48.40170580599806
causal_fast_weight_conv,associative_recall,262988,1000,32,256,0.15625,76.50390625,-0.6650084555149078,4.884547472000122,48.40170580599806
causal_fast_weight_conv,associative_recall,262988,1000,64,256,0.05859375,96.8203125,-0.9017502516508102,5.317940950393677,48.40170580599806
causal_fast_weight_conv,associative_recall,262988,1000,128,256,0.0234375,110.04296875,-1.0255883932113647,5.484155774116516,48.40170580599806
causal_fast_weight_conv,associative_recall,262988,1100,8,256,0.40234375,24.0546875,-0.2009548619389534,3.8450430035591125,53.00602122499913
causal_fast_weight_conv,associative_recall,262988,1100,16,256,0.359375,41.921875,-0.291602686047554,4.132928252220154,53.00602122499913
causal_fast_weight_conv,associative_recall,262988,1100,32,256,0.21875,73.66015625,-0.5999926775693893,4.750859260559082,53.00602122499913
causal_fast_weight_conv,associative_recall,262988,1100,64,256,0.0703125,94.79296875,-0.8146464675664902,5.251489162445068,53.00602122499913
causal_fast_weight_conv,associative_recall,262988,1100,128,256,0.015625,106.8046875,-0.8933198153972626,5.452735662460327,53.00602122499913
causal_fast_weight_conv,associative_recall,262988,1200,8,256,0.46875,21.8671875,-0.1718190647661686,3.632754325866699,57.636550364997674
causal_fast_weight_conv,associative_recall,262988,1200,16,256,0.40625,32.32421875,-0.2838098853826523,3.9319880604743958,57.636550364997674
causal_fast_weight_conv,associative_recall,262988,1200,32,256,0.234375,65.59375,-0.6329950541257858,4.624166250228882,57.636550364997674
causal_fast_weight_conv,associative_recall,262988,1200,64,256,0.078125,89.375,-0.9173272252082825,5.181979298591614,57.636550364997674
causal_fast_weight_conv,associative_recall,262988,1200,128,256,0.00390625,104.0859375,-1.0297054648399353,5.459798336029053,57.636550364997674
causal_fast_weight_conv,associative_recall,262988,1300,8,256,0.52734375,12.609375,-0.08987695351243019,3.3328763842582703,62.231073393999395
causal_fast_weight_conv,associative_recall,262988,1300,16,256,0.39453125,18.0859375,-0.24690023437142372,3.6058144569396973,62.231073393999395
causal_fast_weight_conv,associative_recall,262988,1300,32,256,0.26171875,41.0703125,-0.6407996714115143,4.272493958473206,62.231073393999395
causal_fast_weight_conv,associative_recall,262988,1300,64,256,0.109375,73.234375,-1.1927249729633331,5.035879969596863,62.231073393999395
causal_fast_weight_conv,associative_recall,262988,1300,128,256,0.015625,97.71875,-1.5648033618927002,5.54147732257843,62.231073393999395
causal_fast_weight_conv,associative_recall,262988,1400,8,256,0.54296875,9.640625,-0.03172528650611639,3.1499337553977966,66.83351272399887
causal_fast_weight_conv,associative_recall,262988,1400,16,256,0.47265625,14.69921875,-0.18505778163671494,3.4050134420394897,66.83351272399887
causal_fast_weight_conv,associative_recall,262988,1400,32,256,0.28125,33.89453125,-0.632630467414856,4.077259719371796,66.83351272399887
causal_fast_weight_conv,associative_recall,262988,1400,64,256,0.125,65.40625,-1.29017835855484,4.903785824775696,66.83351272399887
causal_fast_weight_conv,associative_recall,262988,1400,128,256,0.0078125,99.02734375,-1.8973204493522644,5.632935404777527,66.83351272399887
causal_fast_weight_conv,associative_recall,262988,1500,8,256,0.63671875,6.96875,0.06878168135881424,2.937776029109955,71.45949574399856
causal_fast_weight_conv,associative_recall,262988,1500,16,256,0.4921875,10.79296875,-0.10047467052936554,3.2109711170196533,71.45949574399856
causal_fast_weight_conv,associative_recall,262988,1500,32,256,0.3203125,29.59375,-0.5964630842208862,3.8897244930267334,71.45949574399856
causal_fast_weight_conv,associative_recall,262988,1500,64,256,0.1171875,55.15234375,-1.2460389137268066,4.72463321685791,71.45949574399856
causal_fast_weight_conv,associative_recall,262988,1500,128,256,0.01953125,90.3984375,-1.9222853779792786,5.523211479187012,71.45949574399856
causal_fast_weight_conv,induction,262988,1,8,256,0.0078125,125.37109375,-1.2583681046962738,5.548683166503906,0.5314744300012535
causal_fast_weight_conv,induction,262988,1,16,256,0.0,123.74609375,-1.2686405777931213,5.561567425727844,0.5314744300012535
causal_fast_weight_conv,induction,262988,1,32,256,0.0,122.98828125,-1.2646578550338745,5.555316805839539,0.5314744300012535
causal_fast_weight_conv,induction,262988,1,64,256,0.0,133.00390625,-1.2765207886695862,5.578647494316101,0.5314744300012535
causal_fast_weight_conv,induction,262988,1,128,256,0.0,126.08203125,-1.266258716583252,5.562059760093689,0.5314744300012535
causal_fast_weight_conv,induction,262988,100,8,256,0.0078125,122.21875,-1.1886879205703735,5.538411259651184,5.075851949000935
causal_fast_weight_conv,induction,262988,100,16,256,0.0,121.32421875,-1.1918554902076721,5.551395535469055,5.075851949000935
causal_fast_weight_conv,induction,262988,100,32,256,0.0,114.28125,-1.1804305016994476,5.532192707061768,5.075851949000935
causal_fast_weight_conv,induction,262988,100,64,256,0.0,125.46484375,-1.1945241689682007,5.556926488876343,5.075851949000935
causal_fast_weight_conv,induction,262988,100,128,256,0.0,120.7109375,-1.1843746304512024,5.544804930686951,5.075851949000935
causal_fast_weight_conv,induction,262988,200,8,256,0.0,120.3828125,-0.49516166001558304,5.494461894035339,9.741672919000848
causal_fast_weight_conv,induction,262988,200,16,256,0.00390625,120.57421875,-0.48602329939603806,5.496291518211365,9.741672919000848
causal_fast_weight_conv,induction,262988,200,32,256,0.0078125,114.01171875,-0.47190774977207184,5.479713082313538,9.741672919000848
causal_fast_weight_conv,induction,262988,200,64,256,0.0,126.03515625,-0.4980752095580101,5.508711814880371,9.741672919000848
causal_fast_weight_conv,induction,262988,200,128,256,0.00390625,120.0234375,-0.49948839098215103,5.499863982200623,9.741672919000848
causal_fast_weight_conv,induction,262988,300,8,256,0.0078125,121.65625,-0.3675564005970955,5.48963463306427,14.355627098000696
causal_fast_weight_conv,induction,262988,300,16,256,0.00390625,116.6171875,-0.3699774146080017,5.486817002296448,14.355627098000696
causal_fast_weight_conv,induction,262988,300,32,256,0.00390625,117.5390625,-0.3705398961901665,5.485403060913086,14.355627098000696
causal_fast_weight_conv,induction,262988,300,64,256,0.01171875,121.30078125,-0.3745857775211334,5.495477080345154,14.355627098000696
causal_fast_weight_conv,induction,262988,300,128,256,0.00390625,111.53515625,-0.35648392140865326,5.476627945899963,14.355627098000696
causal_fast_weight_conv,induction,262988,400,8,256,0.0234375,68.28515625,-0.3927369490265846,5.343206167221069,18.935222178002732
causal_fast_weight_conv,induction,262988,400,16,256,0.015625,74.91796875,-0.4221852719783783,5.369030714035034,18.935222178002732
causal_fast_weight_conv,induction,262988,400,32,256,0.01171875,91.3671875,-0.4695313051342964,5.413692474365234,18.935222178002732
causal_fast_weight_conv,induction,262988,400,64,256,0.0078125,109.54296875,-0.5245564132928848,5.473565936088562,18.935222178002732
causal_fast_weight_conv,induction,262988,400,128,256,0.0,112.015625,-0.5277929157018661,5.488521575927734,18.935222178002732
causal_fast_weight_conv,induction,262988,500,8,256,0.0390625,47.80078125,-0.43870820850133896,5.130352139472961,23.51661140700162
causal_fast_weight_conv,induction,262988,500,16,256,0.03125,56.30078125,-0.4858664944767952,5.1749149560928345,23.51661140700162
causal_fast_weight_conv,induction,262988,500,32,256,0.02734375,79.10546875,-0.6144762486219406,5.314217686653137,23.51661140700162
causal_fast_weight_conv,induction,262988,500,64,256,0.0078125,110.7578125,-0.7925226986408234,5.494434118270874,23.51661140700162
causal_fast_weight_conv,induction,262988,500,128,256,0.0,109.69140625,-0.7972480356693268,5.499675512313843,23.51661140700162
causal_fast_weight_conv,induction,262988,600,8,256,0.0625,38.71484375,-0.4529355466365814,4.945125460624695,28.130950976999884
causal_fast_weight_conv,induction,262988,600,16,256,0.03515625,55.44140625,-0.5865398049354553,5.082112669944763,28.130950976999884
causal_fast_weight_conv,induction,262988,600,32,256,0.01953125,80.48046875,-0.7707079201936722,5.286287426948547,28.130950976999884
causal_fast_weight_conv,induction,262988,600,64,256,0.0078125,102.67578125,-0.9498867839574814,5.4764357805252075,28.130950976999884
causal_fast_weight_conv,induction,262988,600,128,256,0.0,110.96875,-1.0093935132026672,5.545216917991638,28.130950976999884
causal_fast_weight_conv,induction,262988,700,8,256,0.078125,33.2109375,-0.42368876934051514,4.799835562705994,32.80775927700233
causal_fast_weight_conv,induction,262988,700,16,256,0.0703125,52.078125,-0.5662497282028198,4.9697428941726685,32.80775927700233
causal_fast_weight_conv,induction,262988,700,32,256,0.0390625,80.68359375,-0.7820961624383926,5.230384826660156,32.80775927700233
causal_fast_weight_conv,induction,262988,700,64,256,0.0,104.02734375,-0.9711792916059494,5.463141322135925,32.80775927700233
causal_fast_weight_conv,induction,262988,700,128,256,0.0,113.1328125,-1.0454833209514618,5.5455251932144165,32.80775927700233
causal_fast_weight_conv,induction,262988,800,8,256,0.0859375,30.85546875,-0.4335569515824318,4.6612595319747925,37.42498143600096
causal_fast_weight_conv,induction,262988,800,16,256,0.08203125,52.67578125,-0.5567439496517181,4.867756724357605,37.42498143600096
causal_fast_weight_conv,induction,262988,800,32,256,0.0390625,82.16015625,-0.7302935868501663,5.14175808429718,37.42498143600096
causal_fast_weight_conv,induction,262988,800,64,256,0.0078125,107.80078125,-0.9607170820236206,5.432153582572937,37.42498143600096
causal_fast_weight_conv,induction,262988,800,128,256,0.0078125,111.87109375,-1.0074787735939026,5.502106308937073,37.42498143600096
causal_fast_weight_conv,induction,262988,900,8,256,0.0859375,29.13671875,-0.440581239759922,4.499574303627014,42.06787190600153
causal_fast_weight_conv,induction,262988,900,16,256,0.125,50.51953125,-0.5542147606611252,4.731930255889893,42.06787190600153
causal_fast_weight_conv,induction,262988,900,32,256,0.05859375,79.9296875,-0.7559769600629807,5.068976402282715,42.06787190600153
causal_fast_weight_conv,induction,262988,900,64,256,0.0078125,105.8828125,-0.948420986533165,5.368562936782837,42.06787190600153
causal_fast_weight_conv,induction,262988,900,128,256,0.00390625,112.2109375,-1.0090337544679642,5.485324859619141,42.06787190600153
causal_fast_weight_conv,induction,262988,1000,8,256,0.09375,28.00390625,-0.44611017405986786,4.364296555519104,46.68281763500272
causal_fast_weight_conv,induction,262988,1000,16,256,0.1328125,47.11328125,-0.5124257057905197,4.605876684188843,46.68281763500272
causal_fast_weight_conv,induction,262988,1000,32,256,0.05859375,74.1484375,-0.6954282224178314,4.990238189697266,46.68281763500272
causal_fast_weight_conv,induction,262988,1000,64,256,0.0234375,99.8671875,-0.8589845895767212,5.333439946174622,46.68281763500272
causal_fast_weight_conv,induction,262988,1000,128,256,0.0,111.12890625,-0.9243322461843491,5.496705412864685,46.68281763500272
causal_fast_weight_conv,induction,262988,1100,8,256,0.18359375,23.95703125,-0.4206416606903076,4.195242166519165,51.32311420500264
causal_fast_weight_conv,induction,262988,1100,16,256,0.1796875,41.5078125,-0.5591244697570801,4.468699932098389,51.32311420500264
causal_fast_weight_conv,induction,262988,1100,32,256,0.0859375,70.96484375,-0.8049876242876053,4.904220461845398,51.32311420500264
causal_fast_weight_conv,induction,262988,1100,64,256,0.03125,92.9609375,-0.9554423540830612,5.266134142875671,51.32311420500264
causal_fast_weight_conv,induction,262988,1100,128,256,0.01171875,112.6640625,-1.0672249794006348,5.502829074859619,51.32311420500264
causal_fast_weight_conv,induction,262988,1200,8,256,0.25,19.671875,-0.34292924404144287,3.9953749775886536,55.992009534002136
causal_fast_weight_conv,induction,262988,1200,16,256,0.2109375,29.40234375,-0.4839024692773819,4.2531996965408325,55.992009534002136
causal_fast_weight_conv,induction,262988,1200,32,256,0.1171875,60.9921875,-0.8229225724935532,4.76748788356781,55.992009534002136
causal_fast_weight_conv,induction,262988,1200,64,256,0.0390625,82.45703125,-1.0323281735181808,5.190954923629761,55.992009534002136
causal_fast_weight_conv,induction,262988,1200,128,256,0.00390625,110.8515625,-1.3056274354457855,5.537885665893555,55.992009534002136
causal_fast_weight_conv,induction,262988,1300,8,256,0.3046875,11.875,-0.2571868486702442,3.7893455624580383,60.62464722400182
causal_fast_weight_conv,induction,262988,1300,16,256,0.23828125,18.38671875,-0.3634124621748924,3.984593451023102,60.62464722400182
causal_fast_weight_conv,induction,262988,1300,32,256,0.140625,42.1171875,-0.6973753273487091,4.498033046722412,60.62464722400182
causal_fast_weight_conv,induction,262988,1300,64,256,0.08984375,68.9140625,-0.9243486970663071,4.972578406333923,60.62464722400182
causal_fast_weight_conv,induction,262988,1300,128,256,0.00390625,103.2734375,-1.217595398426056,5.458778738975525,60.62464722400182
causal_fast_weight_conv,induction,262988,1400,8,256,0.37890625,6.89453125,-0.1456351038068533,3.5472995042800903,65.26133616399966
causal_fast_weight_conv,induction,262988,1400,16,256,0.3203125,10.796875,-0.20909972488880157,3.704919457435608,65.26133616399966
causal_fast_weight_conv,induction,262988,1400,32,256,0.19140625,29.58984375,-0.5532220974564552,4.196269512176514,65.26133616399966
causal_fast_weight_conv,induction,262988,1400,64,256,0.12109375,55.453125,-0.9087202847003937,4.7567455768585205,65.26133616399966
causal_fast_weight_conv,induction,262988,1400,128,256,0.02734375,96.63671875,-1.480046272277832,5.46634316444397,65.26133616399966
causal_fast_weight_conv,induction,262988,1500,8,256,0.42578125,4.0234375,-0.08881097286939621,3.33562695980072,69.85470714300027
causal_fast_weight_conv,induction,262988,1500,16,256,0.390625,8.4765625,-0.195575762540102,3.4955689907073975,69.85470714300027
causal_fast_weight_conv,induction,262988,1500,32,256,0.2265625,24.73828125,-0.553741455078125,4.014334440231323,69.85470714300027
causal_fast_weight_conv,induction,262988,1500,64,256,0.125,43.69140625,-0.9108467251062393,4.549710392951965,69.85470714300027
causal_fast_weight_conv,induction,262988,1500,128,256,0.0234375,84.39453125,-1.6155192852020264,5.369529604911804,69.85470714300027
