architecture,task,parameters,step,distance,examples,accuracy,mean_rank,mean_margin,nll,elapsed_seconds
causal_fast_weight_conv,associative_recall,262988,1,8,256,0.0,116.984375,-0.9715862721204758,5.535091280937195,0.9425771099995472
causal_fast_weight_conv,associative_recall,262988,1,16,256,0.0,114.56640625,-0.9464818984270096,5.534623861312866,0.9425771099995472
causal_fast_weight_conv,associative_recall,262988,1,32,256,0.0,128.66015625,-0.8835837841033936,5.56159508228302,0.9425771099995472
causal_fast_weight_conv,associative_recall,262988,1,64,256,0.0,128.30859375,-0.8299142271280289,5.563239336013794,0.9425771099995472
causal_fast_weight_conv,associative_recall,262988,1,128,256,0.0,121.61328125,-0.7614046037197113,5.546443700790405,0.9425771099995472
causal_fast_weight_conv,associative_recall,262988,100,8,256,0.73828125,25.5,0.1189162079244852,4.728383302688599,5.7048868800011405
causal_fast_weight_conv,associative_recall,262988,100,16,256,0.5859375,34.28125,-0.013634584844112396,4.848028898239136,5.7048868800011405
causal_fast_weight_conv,associative_recall,262988,100,32,256,0.33203125,73.18359375,-0.3374503552913666,5.162963151931763,5.7048868800011405
causal_fast_weight_conv,associative_recall,262988,100,64,256,0.10546875,105.046875,-0.573214128613472,5.427137613296509,5.7048868800011405
causal_fast_weight_conv,associative_recall,262988,100,128,256,0.015625,120.26953125,-0.6634990274906158,5.531914949417114,5.7048868800011405
causal_fast_weight_conv,associative_recall,262988,200,8,256,0.75,23.4453125,0.3321598004549742,4.3753883838653564,10.487049479001143
causal_fast_weight_conv,associative_recall,262988,200,16,256,0.61328125,30.19921875,0.13022630382329226,4.558430552482605,10.487049479001143
causal_fast_weight_conv,associative_recall,262988,200,32,256,0.33984375,67.80078125,-0.35459403693675995,4.991057276725769,10.487049479001143
causal_fast_weight_conv,associative_recall,262988,200,64,256,0.11328125,102.1796875,-0.7023419439792633,5.376054167747498,10.487049479001143
causal_fast_weight_conv,associative_recall,262988,200,128,256,0.01953125,122.26953125,-0.8600109666585922,5.544124245643616,10.487049479001143
causal_fast_weight_conv,associative_recall,262988,300,8,256,0.75,22.3671875,0.48183294758200645,4.0635292530059814,15.299629848999757
causal_fast_weight_conv,associative_recall,262988,300,16,256,0.609375,29.60546875,0.2040061019361019,4.298174858093262,15.299629848999757
causal_fast_weight_conv,associative_recall,262988,300,32,256,0.33984375,67.09765625,-0.39842139557003975,4.840275764465332,15.299629848999757
causal_fast_weight_conv,associative_recall,262988,300,64,256,0.1171875,99.69921875,-0.8433352261781693,5.329413175582886,15.299629848999757
causal_fast_weight_conv,associative_recall,262988,300,128,256,0.015625,121.2109375,-1.0657536089420319,5.549952387809753,15.299629848999757
causal_fast_weight_conv,associative_recall,262988,400,8,256,0.75,22.046875,0.6202448606491089,3.749640166759491,20.079342177999933
causal_fast_weight_conv,associative_recall,262988,400,16,256,0.6171875,28.47265625,0.2862185128033161,4.031383633613586,20.079342177999933
causal_fast_weight_conv,associative_recall,262988,400,32,256,0.33984375,64.6640625,-0.4599931985139847,4.689846158027649,20.079342177999933
causal_fast_weight_conv,associative_recall,262988,400,64,256,0.11328125,96.86328125,-1.0063790082931519,5.286159992218018,20.079342177999933
causal_fast_weight_conv,associative_recall,262988,400,128,256,0.01171875,119.0234375,-1.2753014862537384,5.5561206340789795,20.079342177999933
causal_fast_weight_conv,associative_recall,262988,500,8,256,0.75,21.5625,0.772511824965477,3.451682984828949,24.595135547999234
causal_fast_weight_conv,associative_recall,262988,500,16,256,0.61328125,27.64453125,0.37214526161551476,3.7752188444137573,24.595135547999234
causal_fast_weight_conv,associative_recall,262988,500,32,256,0.34375,63.66015625,-0.51399065554142,4.5506346225738525,24.595135547999234
causal_fast_weight_conv,associative_recall,262988,500,64,256,0.109375,96.16015625,-1.1759847104549408,5.25452983379364,24.595135547999234
causal_fast_weight_conv,associative_recall,262988,500,128,256,0.015625,115.859375,-1.4653321206569672,5.56201958656311,24.595135547999234
causal_fast_weight_conv,associative_recall,262988,600,8,256,0.75,20.76171875,0.9420265108346939,3.1368308663368225,29.206340766999347
causal_fast_weight_conv,associative_recall,262988,600,16,256,0.61328125,27.73046875,0.45309916138648987,3.5365013480186462,29.206340766999347
causal_fast_weight_conv,associative_recall,262988,600,32,256,0.34765625,61.8515625,-0.5428896173834801,4.4079612493515015,29.206340766999347
causal_fast_weight_conv,associative_recall,262988,600,64,256,0.11328125,95.32421875,-1.3289166390895844,5.224919438362122,29.206340766999347
causal_fast_weight_conv,associative_recall,262988,600,128,256,0.01953125,114.34375,-1.6728672981262207,5.575753211975098,29.206340766999347
causal_fast_weight_conv,associative_recall,262988,700,8,256,0.75,19.7421875,1.1078457832336426,2.844723701477051,33.7248082469996
causal_fast_weight_conv,associative_recall,262988,700,16,256,0.6171875,26.359375,0.5487619787454605,3.2945810556411743,33.7248082469996
causal_fast_weight_conv,associative_recall,262988,700,32,256,0.34765625,59.06640625,-0.5688322931528091,4.264965057373047,33.7248082469996
causal_fast_weight_conv,associative_recall,262988,700,64,256,0.109375,93.91796875,-1.468831479549408,5.186613321304321,33.7248082469996
causal_fast_weight_conv,associative_recall,262988,700,128,256,0.015625,113.43359375,-1.8764624893665314,5.597165822982788,33.7248082469996
causal_fast_weight_conv,associative_recall,262988,800,8,256,0.75,17.8671875,1.2834638953208923,2.582422435283661,38.246442876999936
causal_fast_weight_conv,associative_recall,262988,800,16,256,0.609375,25.75390625,0.6351412683725357,3.075721561908722,38.246442876999936
causal_fast_weight_conv,associative_recall,262988,800,32,256,0.34765625,59.125,-0.620011568069458,4.16376918554306,38.246442876999936
causal_fast_weight_conv,associative_recall,262988,800,64,256,0.109375,92.01171875,-1.611504316329956,5.1488072872161865,38.246442876999936
causal_fast_weight_conv,associative_recall,262988,800,128,256,0.015625,113.41796875,-2.076317220926285,5.630232572555542,38.246442876999936
causal_fast_weight_conv,associative_recall,262988,900,8,256,0.74609375,18.73828125,1.426670029759407,2.3693166971206665,42.801224266000645
causal_fast_weight_conv,associative_recall,262988,900,16,256,0.61328125,25.796875,0.7378941178321838,2.8835114240646362,42.801224266000645
causal_fast_weight_conv,associative_recall,262988,900,32,256,0.3515625,57.26171875,-0.6573346927762032,4.063733100891113,42.801224266000645
causal_fast_weight_conv,associative_recall,262988,900,64,256,0.11328125,90.91796875,-1.7443829476833344,5.133548855781555,42.801224266000645
causal_fast_weight_conv,associative_recall,262988,900,128,256,0.01171875,114.4140625,-2.283685266971588,5.674228549003601,42.801224266000645
causal_fast_weight_conv,associative_recall,262988,1000,8,256,0.74609375,17.94921875,1.5911716520786285,2.179163694381714,47.3236352060012
causal_fast_weight_conv,associative_recall,262988,1000,16,256,0.61328125,23.77734375,0.8318206369876862,2.726379632949829,47.3236352060012
causal_fast_weight_conv,associative_recall,262988,1000,32,256,0.3515625,55.00390625,-0.6474016532301903,3.9683531522750854,47.3236352060012
causal_fast_weight_conv,associative_recall,262988,1000,64,256,0.11328125,87.76953125,-1.8367928266525269,5.101991891860962,47.3236352060012
causal_fast_weight_conv,associative_recall,262988,1000,128,256,0.01171875,113.359375,-2.45649391412735,5.695099830627441,47.3236352060012
causal_fast_weight_conv,associative_recall,262988,1100,8,256,0.75,17.53125,1.7327361404895782,2.023790031671524,51.85451914499936
causal_fast_weight_conv,associative_recall,262988,1100,16,256,0.6171875,22.7421875,0.9405331611633301,2.5904688239097595,51.85451914499936
causal_fast_weight_conv,associative_recall,262988,1100,32,256,0.34765625,54.40234375,-0.6740374714136124,3.91068959236145,51.85451914499936
causal_fast_weight_conv,associative_recall,262988,1100,64,256,0.11328125,86.9140625,-1.9359412789344788,5.090227961540222,51.85451914499936
causal_fast_weight_conv,associative_recall,262988,1100,128,256,0.01171875,113.08203125,-2.600924491882324,5.728576302528381,51.85451914499936
causal_fast_weight_conv,associative_recall,262988,1200,8,256,0.75,16.87109375,1.9103978872299194,1.8906972110271454,56.40067525500126
causal_fast_weight_conv,associative_recall,262988,1200,16,256,0.609375,22.0625,1.031896099448204,2.493926763534546,56.40067525500126
causal_fast_weight_conv,associative_recall,262988,1200,32,256,0.34765625,52.3515625,-0.6556406617164612,3.8378413319587708,56.40067525500126
causal_fast_weight_conv,associative_recall,262988,1200,64,256,0.109375,85.859375,-2.0114641785621643,5.073135733604431,56.40067525500126
causal_fast_weight_conv,associative_recall,262988,1200,128,256,0.015625,113.2734375,-2.7284092903137207,5.755336284637451,56.40067525500126
causal_fast_weight_conv,associative_recall,262988,1300,8,256,0.7578125,15.953125,2.061173141002655,1.7902327477931976,60.91147145500145
causal_fast_weight_conv,associative_recall,262988,1300,16,256,0.61328125,20.8515625,1.1146620512008667,2.417675018310547,60.91147145500145
causal_fast_weight_conv,associative_recall,262988,1300,32,256,0.3515625,51.3046875,-0.6305611804127693,3.786888062953949,60.91147145500145
causal_fast_weight_conv,associative_recall,262988,1300,64,256,0.11328125,86.81640625,-2.0890297293663025,5.077110290527344,60.91147145500145
causal_fast_weight_conv,associative_recall,262988,1300,128,256,0.015625,112.1953125,-2.845685362815857,5.773130893707275,60.91147145500145
causal_fast_weight_conv,associative_recall,262988,1400,8,256,0.765625,15.4609375,2.1599103212356567,1.7141624689102173,65.43161958400015
causal_fast_weight_conv,associative_recall,262988,1400,16,256,0.6171875,21.56640625,1.1631913632154465,2.370554506778717,65.43161958400015
causal_fast_weight_conv,associative_recall,262988,1400,32,256,0.3515625,50.08203125,-0.6401441879570484,3.7451207041740417,65.43161958400015
causal_fast_weight_conv,associative_recall,262988,1400,64,256,0.11328125,84.3203125,-2.1029512882232666,5.046938896179199,65.43161958400015
causal_fast_weight_conv,associative_recall,262988,1400,128,256,0.01171875,113.2265625,-2.94231915473938,5.813635468482971,65.43161958400015
causal_fast_weight_conv,associative_recall,262988,1500,8,256,0.76171875,15.0625,2.2501746714115143,1.6566137075424194,69.97662008399857
causal_fast_weight_conv,associative_recall,262988,1500,16,256,0.6171875,20.65234375,1.2470264434814453,2.319881856441498,69.97662008399857
causal_fast_weight_conv,associative_recall,262988,1500,32,256,0.359375,50.02734375,-0.6373896989971399,3.73638379573822,69.97662008399857
causal_fast_weight_conv,associative_recall,262988,1500,64,256,0.1171875,82.7734375,-2.111315995454788,5.031656503677368,69.97662008399857
causal_fast_weight_conv,associative_recall,262988,1500,128,256,0.01171875,113.6328125,-2.9858105778694153,5.83206582069397,69.97662008399857
causal_fast_weight_conv,induction,262988,1,8,256,0.0078125,113.49609375,-0.9107599556446075,5.525634765625,0.5178354400013632
causal_fast_weight_conv,induction,262988,1,16,256,0.0,112.375,-0.8719497919082642,5.528068542480469,0.5178354400013632
causal_fast_weight_conv,induction,262988,1,32,256,0.0,112.93359375,-0.8273719549179077,5.528833866119385,0.5178354400013632
causal_fast_weight_conv,induction,262988,1,64,256,0.0,131.609375,-0.807486817240715,5.566578030586243,0.5178354400013632
causal_fast_weight_conv,induction,262988,1,128,256,0.0,121.5,-0.7777115404605865,5.544178605079651,0.5178354400013632
causal_fast_weight_conv,induction,262988,100,8,256,0.73046875,19.890625,0.10217672400176525,4.723637223243713,5.008991839000373
causal_fast_weight_conv,induction,262988,100,16,256,0.5546875,40.05078125,-0.07278201170265675,4.900130987167358,5.008991839000373
causal_fast_weight_conv,induction,262988,100,32,256,0.3203125,69.703125,-0.3566397801041603,5.1586562395095825,5.008991839000373
causal_fast_weight_conv,induction,262988,100,64,256,0.1171875,102.97265625,-0.5843594521284103,5.418771743774414,5.008991839000373
causal_fast_weight_conv,induction,262988,100,128,256,0.01953125,114.4609375,-0.6823187172412872,5.511749505996704,5.008991839000373
causal_fast_weight_conv,induction,262988,200,8,256,0.77734375,18.65625,0.3113837279379368,4.335687160491943,9.54091804899872
causal_fast_weight_conv,induction,262988,200,16,256,0.60546875,36.8984375,0.045975446701049805,4.6065651178359985,9.54091804899872
causal_fast_weight_conv,induction,262988,200,32,256,0.35546875,67.46484375,-0.370445191860199,4.980458378791809,9.54091804899872
causal_fast_weight_conv,induction,262988,200,64,256,0.125,98.16015625,-0.7062388360500336,5.348610520362854,9.54091804899872
causal_fast_weight_conv,induction,262988,200,128,256,0.01953125,114.0703125,-0.870161309838295,5.509673833847046,9.54091804899872
causal_fast_weight_conv,induction,262988,300,8,256,0.7890625,17.828125,0.4865010604262352,3.994987428188324,14.083309577999898
causal_fast_weight_conv,induction,262988,300,16,256,0.60546875,35.25390625,0.11714351363480091,4.351853966712952,14.083309577999898
causal_fast_weight_conv,induction,262988,300,32,256,0.34765625,66.81640625,-0.4156356304883957,4.827104806900024,14.083309577999898
causal_fast_weight_conv,induction,262988,300,64,256,0.12109375,96.21484375,-0.8706523180007935,5.298544883728027,14.083309577999898
causal_fast_weight_conv,induction,262988,300,128,256,0.02734375,113.05859375,-1.072706162929535,5.5026127099990845,14.083309577999898
causal_fast_weight_conv,induction,262988,400,8,256,0.79296875,17.2109375,0.6269447654485703,3.675126612186432,18.61327262800114
causal_fast_weight_conv,induction,262988,400,16,256,0.609375,34.62109375,0.1756099797785282,4.103934705257416,18.61327262800114
causal_fast_weight_conv,induction,262988,400,32,256,0.34765625,66.59375,-0.4825543090701103,4.687024831771851,18.61327262800114
causal_fast_weight_conv,induction,262988,400,64,256,0.12109375,93.5703125,-1.0388215333223343,5.25226616859436,18.61327262800114
causal_fast_weight_conv,induction,262988,400,128,256,0.02734375,111.71875,-1.3042635023593903,5.508301734924316,18.61327262800114
causal_fast_weight_conv,induction,262988,500,8,256,0.79296875,16.0859375,0.7630980759859085,3.36226749420166,23.200109728000825
causal_fast_weight_conv,induction,262988,500,16,256,0.60546875,34.12109375,0.23804496973752975,3.8564480543136597,23.200109728000825
