architecture,task,parameters,step,distance,examples,accuracy,mean_rank,mean_margin,nll,elapsed_seconds
gqa,associative_recall,262848,1,8,256,0.0,118.390625,-1.1502481997013092,5.5436742305755615,0.7412621250005031
gqa,associative_recall,262848,1,16,256,0.0,129.9140625,-1.2112846672534943,5.57083785533905,0.7412621250005031
gqa,associative_recall,262848,1,32,256,0.0,126.5078125,-1.227199673652649,5.561579346656799,0.7412621250005031
gqa,associative_recall,262848,1,64,256,0.0,121.11328125,-1.237510085105896,5.5492130517959595,0.7412621250005031
gqa,associative_recall,262848,1,128,256,0.0,119.02734375,-1.2259147465229034,5.544921159744263,0.7412621250005031
gqa,associative_recall,262848,100,8,256,0.03125,51.32421875,-0.5168173536658287,5.300960302352905,2.260424750000311
gqa,associative_recall,262848,100,16,256,0.04296875,58.59375,-0.5525004863739014,5.323212385177612,2.260424750000311
gqa,associative_recall,262848,100,32,256,0.01171875,55.13671875,-0.5291233137249947,5.325960159301758,2.260424750000311
gqa,associative_recall,262848,100,64,256,0.015625,62.40625,-0.554327666759491,5.351276397705078,2.260424750000311
gqa,associative_recall,262848,100,128,256,0.0234375,61.87109375,-0.531336322426796,5.342193245887756,2.260424750000311
gqa,associative_recall,262848,200,8,256,0.0546875,37.07421875,-0.5051310956478119,5.14351487159729,3.3440214170004765
gqa,associative_recall,262848,200,16,256,0.04296875,43.37109375,-0.5432790666818619,5.183292388916016,3.3440214170004765
gqa,associative_recall,262848,200,32,256,0.03515625,42.30078125,-0.5342396721243858,5.1888415813446045,3.3440214170004765
gqa,associative_recall,262848,200,64,256,0.0390625,52.20703125,-0.5765174329280853,5.250121593475342,3.3440214170004765
gqa,associative_recall,262848,200,128,256,0.0390625,55.671875,-0.5739579498767853,5.260615825653076,3.3440214170004765
gqa,associative_recall,262848,300,8,256,0.09765625,29.1796875,-0.4989888295531273,4.98616635799408,4.420248124999489
gqa,associative_recall,262848,300,16,256,0.05859375,34.1328125,-0.5592131465673447,5.04763126373291,4.420248124999489
gqa,associative_recall,262848,300,32,256,0.0625,36.05859375,-0.5638918876647949,5.066506743431091,4.420248124999489
gqa,associative_recall,262848,300,64,256,0.03515625,47.44921875,-0.633150041103363,5.161840438842773,4.420248124999489
gqa,associative_recall,262848,300,128,256,0.0390625,50.19921875,-0.620040699839592,5.175046801567078,4.420248124999489
gqa,associative_recall,262848,400,8,256,0.22265625,19.18359375,-0.3739011436700821,4.7210060358047485,5.5058426249997865
gqa,associative_recall,262848,400,16,256,0.1640625,23.21484375,-0.46248185634613037,4.8032532930374146,5.5058426249997865
gqa,associative_recall,262848,400,32,256,0.13671875,21.8359375,-0.4624346196651459,4.7929136753082275,5.5058426249997865
gqa,associative_recall,262848,400,64,256,0.09765625,29.8046875,-0.5170808658003807,4.930348634719849,5.5058426249997865
gqa,associative_recall,262848,400,128,256,0.09375,39.3984375,-0.5485996752977371,5.025233507156372,5.5058426249997865
gqa,associative_recall,262848,500,8,256,0.4609375,11.484375,-0.13289007870480418,4.350042700767517,6.621032541999739
gqa,associative_recall,262848,500,16,256,0.4296875,10.63671875,-0.1547370608896017,4.378398656845093,6.621032541999739
gqa,associative_recall,262848,500,32,256,0.4609375,8.015625,-0.09039402194321156,4.308518648147583,6.621032541999739
gqa,associative_recall,262848,500,64,256,0.2890625,15.00390625,-0.26476187258958817,4.54732608795166,6.621032541999739
gqa,associative_recall,262848,500,128,256,0.203125,18.078125,-0.3196667954325676,4.717332363128662,6.621032541999739
gqa,associative_recall,262848,600,8,256,0.72265625,4.48828125,0.1803048960864544,3.9114598631858826,7.7504047919992445
gqa,associative_recall,262848,600,16,256,0.63671875,5.52734375,0.07917671743780375,3.9772068858146667,7.7504047919992445
gqa,associative_recall,262848,600,32,256,0.66015625,4.45703125,0.14207904785871506,3.9186915159225464,7.7504047919992445
gqa,associative_recall,262848,600,64,256,0.6015625,6.05859375,0.062076323200017214,4.05228066444397,7.7504047919992445
gqa,associative_recall,262848,600,128,256,0.5,8.74609375,-0.044517460744827986,4.260929584503174,7.7504047919992445
gqa,associative_recall,262848,700,8,256,0.8359375,3.17578125,0.35995403677225113,3.5504767298698425,8.87398654199933
gqa,associative_recall,262848,700,16,256,0.7578125,3.84765625,0.29844415560364723,3.6000823974609375,8.87398654199933
gqa,associative_recall,262848,700,32,256,0.828125,3.30859375,0.3645729795098305,3.562523901462555,8.87398654199933
gqa,associative_recall,262848,700,64,256,0.78515625,4.65625,0.2708396576344967,3.6911396980285645,8.87398654199933
gqa,associative_recall,262848,700,128,256,0.61328125,7.00390625,0.08367744833230972,3.9698601365089417,8.87398654199933
gqa,associative_recall,262848,800,8,256,0.9140625,1.90625,0.595140241086483,3.1733015179634094,9.96622433399898
gqa,associative_recall,262848,800,16,256,0.87890625,2.51953125,0.535337045788765,3.2205326557159424,9.96622433399898
gqa,associative_recall,262848,800,32,256,0.8984375,2.1796875,0.5466277301311493,3.1845194697380066,9.96622433399898
gqa,associative_recall,262848,800,64,256,0.86328125,1.59375,0.5224341824650764,3.2743595242500305,9.96622433399898
gqa,associative_recall,262848,800,128,256,0.7265625,3.48828125,0.27092983573675156,3.5621175169944763,9.96622433399898
gqa,associative_recall,262848,900,8,256,0.953125,1.18359375,0.830186665058136,2.7933337688446045,11.034854208999604
gqa,associative_recall,262848,900,16,256,0.9375,1.5,0.8140627890825272,2.8061134815216064,11.034854208999604
gqa,associative_recall,262848,900,32,256,0.93359375,2.5703125,0.7495877593755722,2.841622471809387,11.034854208999604
gqa,associative_recall,262848,900,64,256,0.8984375,1.96875,0.6880529820919037,2.9326178431510925,11.034854208999604
gqa,associative_recall,262848,900,128,256,0.8046875,3.01171875,0.43007852137088776,3.2044527530670166,11.034854208999604
gqa,associative_recall,262848,1000,8,256,0.9765625,1.40234375,1.0697596669197083,2.4043827056884766,12.1201361250005
gqa,associative_recall,262848,1000,16,256,0.94921875,2.58984375,1.0780200362205505,2.4036670923233032,12.1201361250005
gqa,associative_recall,262848,1000,32,256,0.9453125,3.125,0.9643105417490005,2.485306978225708,12.1201361250005
gqa,associative_recall,262848,1000,64,256,0.91015625,1.625,0.9358498752117157,2.5472307801246643,12.1201361250005
gqa,associative_recall,262848,1000,128,256,0.83984375,3.2265625,0.5945470258593559,2.8962261080741882,12.1201361250005
gqa,associative_recall,262848,1100,8,256,0.953125,2.734375,1.271605908870697,2.114458918571472,13.248091792000196
gqa,associative_recall,262848,1100,16,256,0.94921875,1.97265625,1.303023487329483,2.0870845913887024,13.248091792000196
gqa,associative_recall,262848,1100,32,256,0.9609375,1.64453125,1.3084753453731537,2.0768428444862366,13.248091792000196
gqa,associative_recall,262848,1100,64,256,0.9609375,1.12890625,1.2662593722343445,2.1588178873062134,13.248091792000196
gqa,associative_recall,262848,1100,128,256,0.90234375,1.8828125,0.9449833631515503,2.4560816884040833,13.248091792000196
gqa,associative_recall,262848,1200,8,256,0.98046875,1.66796875,1.5760502815246582,1.7517265975475311,14.396071416998893
gqa,associative_recall,262848,1200,16,256,0.9609375,1.78125,1.5727517008781433,1.7516894042491913,14.396071416998893
gqa,associative_recall,262848,1200,32,256,0.98828125,1.01953125,1.6650633811950684,1.683594673871994,14.396071416998893
gqa,associative_recall,262848,1200,64,256,0.9609375,1.203125,1.5461366772651672,1.819132924079895,14.396071416998893
gqa,associative_recall,262848,1200,128,256,0.8984375,1.58984375,1.1047788858413696,2.1668494939804077,14.396071416998893
gqa,associative_recall,262848,1300,8,256,0.96875,1.61328125,1.834282100200653,1.4652243852615356,15.536600416999136
gqa,associative_recall,262848,1300,16,256,0.9765625,2.2265625,1.8734915256500244,1.446868747472763,15.536600416999136
gqa,associative_recall,262848,1300,32,256,0.984375,1.0234375,1.9346546828746796,1.3947110176086426,15.536600416999136
gqa,associative_recall,262848,1300,64,256,0.97265625,1.1796875,1.8008098304271698,1.5227185785770416,15.536600416999136
gqa,associative_recall,262848,1300,128,256,0.90625,3.0390625,1.2622028589248657,1.9159772396087646,15.536600416999136
gqa,associative_recall,262848,1400,8,256,0.97265625,1.83203125,2.072943538427353,1.2146347165107727,16.680816750000304
gqa,associative_recall,262848,1400,16,256,0.96484375,1.7890625,2.111399620771408,1.2093979716300964,16.680816750000304
gqa,associative_recall,262848,1400,32,256,0.96484375,1.4921875,2.0997039675712585,1.2013055980205536,16.680816750000304
gqa,associative_recall,262848,1400,64,256,0.9609375,1.44140625,2.024112820625305,1.2827132940292358,16.680816750000304
